id,中文,zh-CN
981307harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981307suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981308name,"group by关键词检测","group by关键词检测"
981308desc,"SQL关键词检测，当检测到group by后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到group by后积分+1,默认当积分>3后阻断攻击"
981308harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981308suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981309name,"order by关键词检测","order by关键词检测"
981309desc,"SQL关键词检测，当检测到order by后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到order by后积分+1,默认当积分>3后阻断攻击"
981309harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981309suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981310name,having关键词检测,having关键词检测
981310desc,"SQL关键词检测，当检测到having后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到having后积分+1,默认当积分>3后阻断攻击"
981310harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981310suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981311name,limit关键词检测,limit关键词检测
981311desc,"SQL关键词检测，当检测到limit后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到limit后积分+1,默认当积分>3后阻断攻击"
981311harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981311suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981312name,offset关键词检测,offset关键词检测
981312desc,"SQL关键词检测，当检测到offset后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到offset后积分+1,默认当积分>3后阻断攻击"
981312harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981312suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981313name,union关键词检测,union关键词检测
981313desc,"SQL关键词检测，当检测到union后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到union后积分+1,默认当积分>3后阻断攻击"
981313harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981313suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981314name,"union all关键词检测","union all关键词检测"
981314desc,"SQL关键词检测，当检测到union all后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到union all后积分+1,默认当积分>3后阻断攻击"
981314harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981314suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981315name,"rownum as关键词检测","rownum as关键词检测"
981315desc,"SQL关键词检测，当检测到rownum as后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到rownum as后积分+1,默认当积分>3后阻断攻击"
981315harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981315suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981316name,(case关键词检测,(case关键词检测
981316desc,"SQL关键词检测，当检测到(case后积分+1,默认当积分>3后阻断攻击","SQL关键词检测，当检测到(case后积分+1,默认当积分>3后阻断攻击"
981316harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981316suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
981317name,检测SQL关键词的总数,检测SQL关键词的总数
981317desc,如果检测到SQL关键词总数大与等于3，则阻断访问,如果检测到SQL关键词总数大与等于3，则阻断访问
981317harm_desc,"在请求中利用(case|rownum as|union all|offset|limit|having|where|dual等敏感字符，攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用(case|rownum as|union all|offset|limit|having|where|dual等敏感字符，攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981317suggest,"建议在web服务器添加对含有(case|rownum as|union all|offset|limit|having|where|dual等敏感字符的数据进行过滤","建议在web服务器添加对含有(case|rownum as|union all|offset|limit|having|where|dual等敏感字符的数据进行过滤"
981318name,SQL常用注入测试,SQL常用注入测试
981318desc,识别常见的初始SQL注入探测请求，攻击者尝试在正常的输入位置插入/追加引号字符等，看看web应用程序/数据库如何响应。,识别常见的初始SQL注入探测请求，攻击者尝试在正常的输入位置插入/追加引号字符等，看看web应用程序/数据库如何响应。
981318harm_desc,"在cookies和请求参数和xml中利用以\"'`;等字符开头或以\";'等字符结尾，攻击者可尝试用简单、常用的注入方法测试服务器，从而进一步的实行攻击，此时防火墙除了把请求拦截意外，还会设置异常分值，准备好应对攻击者可进一步的攻击。","在cookies和请求参数和xml中利用以\'`;等字符开头或以\";'等字符结尾，攻击者可尝试用简单、常用的注入方法测试服务器，从而进一步的实行攻击，此时防火墙除了把请求拦截意外，还会设置异常分值，准备好应对攻击者可进一步的攻击。"""
981318suggest,"建议在web服务器添加对以\"'`;等字符开头或以\";'等字符结尾的数据进行过滤","建议在web服务器添加对以\'`;等字符开头或以\";'等字符结尾的数据进行过滤"""
981319name,SQL常见操作符检测,SQL常见操作符检测
981319desc,通过检测SQL语句中的常见操作符来判断SQL注入攻击，如常见的：xor|rlike|regexp|isnullnot|between|and|like|in等,通过检测SQL语句中的常见操作符来判断SQL注入攻击，如常见的：xor|rlike|regexp|isnullnot|between|and|like|in等
981319harm_desc,在cookies和请求参数和xml中利用！=|&&|>>|<<|<=|rlike|isnull等字符，攻击者可尝试用SQL的操作符进行攻击试探，从而进一步的实行攻击。,在cookies和请求参数和xml中利用！=|&&|>>|<<|<=|rlike|isnull等字符，攻击者可尝试用SQL的操作符进行攻击试探，从而进一步的实行攻击。
981319suggest,建议在web服务器添加对含有=|&&|>>|<<|<=|rlike|isnull等字符的数据进行过滤,建议在web服务器添加对含有=|&&|>>|<<|<=|rlike|isnull等字符的数据进行过滤
981320name,数据库名字探测,数据库名字探测
981320desc,检测输入中是否出现一些数据库系统中常见的数据库名，如：master、sysobjects等,检测输入中是否出现一些数据库系统中常见的数据库名，如：master、sysobjects等
981320harm_desc,"在cookies和请求参数和xml中利用 msysaccessobjects|mysrelationships|sys darabase_name|sysaux等字符，攻击者可尝试查找数据库的名字。一旦成功便可以对数据库实行进一步的攻击，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。  ","在cookies和请求参数和xml中利用 msysaccessobjects|mysrelationships|sys darabase_name|sysaux等字符，攻击者可尝试查找数据库的名字。一旦成功便可以对数据库实行进一步的攻击，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
981320suggest,"建议在web服务器添加对含有msysaccessobjects|mysrelationships|sys darabase_name|sysaux等字符的数据进行过滤","建议在web服务器添加对含有msysaccessobjects|mysrelationships|sys darabase_name|sysaux等字符的数据进行过滤"
981400name,"检测全局集合参数CONTENT_TYPE_HEADER_EXISTS的值（Application Defects）","检测全局集合参数CONTENT_TYPE_HEADER_EXISTS的值（Application Defects）"
981400desc,"如果全局集合参数CONTENT_TYPE_HEADER_EXISTS的值为0 ，则设置参数global.content_type_header_exists=0（Application Defects）","如果全局集合参数CONTENT_TYPE_HEADER_EXISTS的值为0 ，则设置参数global.content_type_header_exists=0（Application Defects）"
981400harm_desc,"攻击者会利用使响应头缺失 content-type头的请求访问服务器。","攻击者会利用使响应头缺失 content-type头的请求访问服务器。"
981400suggest,建议web服务器把响应头缺失content-type头的应答过滤了。,建议web服务器把响应头缺失content-type头的应答过滤了。
981401name,"检测http响应头是否含有Content-Type字段内容（Application Defects）","检测http响应头是否含有Content-Type字段内容（Application Defects）"
981401desc,"CONTENT_TYPE_HEADER_EXISTS参数值少于或等于10，说明http响应头没有Content-Type字段或者该字段内容为空（Application Defects）","CONTENT_TYPE_HEADER_EXISTS参数值少于或等于10，说明http响应头没有Content-Type字段或者该字段内容为空（Application Defects）"
981401harm_desc,"浏览器是根据Content-Type字段的内容来判断怎么处理响应信息，如果Content-Type字段内容为空，浏览器会强迫性的嗅探信息内容进行决断。强迫浏览器进入这种状态是不可取的,因为它会导致可利用的条件。","浏览器是根据Content-Type字段的内容来判断怎么处理响应信息，如果Content-Type字段内容为空，浏览器会强迫性的嗅探信息内容进行决断。强迫浏览器进入这种状态是不可取的,因为它会导致可利用的条件。"
981401suggest,建议web服务器在响应信息中添加Content-Type字段内容,建议web服务器在响应信息中添加Content-Type字段内容
981402name,"检测全局集合参数X_XSS_PROTECTION_DISABLED的值（Application Defects）","检测全局集合参数X_XSS_PROTECTION_DISABLED的值（Application Defects）"
981402desc,"如果全局集合参数CONTENT_TYPE_HEADER_EXISTS的值为0 ，则设置参数global.x_xss_protection_disabled=0（Application Defects）","如果全局集合参数CONTENT_TYPE_HEADER_EXISTS的值为0 ，则设置参数global.x_xss_protection_disabled=0（Application Defects）"
981402harm_desc,IE8浏览器中XSS防护过滤器没使能是很危险的。,IE8浏览器中XSS防护过滤器没使能是很危险的。
981402suggest,建议web服务器把IE8浏览器中XSS防护过滤器没使能的请求过滤了。,建议web服务器把IE8浏览器中XSS防护过滤器没使能的请求过滤了。
981403name,"检测IE浏览器的XSS防护过滤功能是否启用（Application Defects）","检测IE浏览器的XSS防护过滤功能是否启用（Application Defects）"
981403desc,"X_XSS_PROTECTION_DISABLED参数值少于或等于10，说明IE浏览器的XSS防护过滤功能没有启用（Application Defects）","X_XSS_PROTECTION_DISABLED参数值少于或等于10，说明IE浏览器的XSS防护过滤功能没有启用（Application Defects）"
981403harm_desc,IE8浏览器中XSS防护过滤器没使能是很危险的。,IE8浏览器中XSS防护过滤器没使能是很危险的。
981403suggest,建议web服务器把IE8浏览器中XSS防护过滤器没使能的请求过滤了。,建议web服务器把IE8浏览器中XSS防护过滤器没使能的请求过滤了。
981404name,"检测全局集合参数X_FRAME_OPTIONS的值（Application Defects）","检测全局集合参数X_FRAME_OPTIONS的值（Application Defects）"
981404desc,"如果全局集合参数X_FRAME_OPTIONS的值为0 ，则设置参数global.x_frame_options=0（Application Defects）","如果全局集合参数X_FRAME_OPTIONS的值为0 ，则设置参数global.x_frame_options=0（Application Defects）"
981404harm_desc,"攻击者会利用使响应头缺失 FRAME-OPTIONS头或者被设置成deny的请求访问服务器。","攻击者会利用使响应头缺失 FRAME-OPTIONS头或者被设置成deny的请求访问服务器。"
981404suggest,"建议web服务器响应头缺失 FRAME-OPTIONS头或者被设置成deny的响应体过滤了。","建议web服务器响应头缺失 FRAME-OPTIONS头或者被设置成deny的响应体过滤了。"
981405name,"检测http响应头是否含有X-FRAME-OPTIONS字段内容（Application Defects）","检测http响应头是否含有X-FRAME-OPTIONS字段内容（Application Defects）"
981405desc,"X_FRAME_OPTIONS参数值少于或等于10，说明http响应头没有X-FRAME-OPTIONS字段或者该字段内容为空（Application Defects）","X_FRAME_OPTIONS参数值少于或等于10，说明http响应头没有X-FRAME-OPTIONS字段或者该字段内容为空（Application Defects）"
981405harm_desc,"攻击者会利用使响应头缺失 FRAME-OPTIONS头或者被设置成deny的请求访问服务器。","攻击者会利用使响应头缺失 FRAME-OPTIONS头或者被设置成deny的请求访问服务器。"
981405suggest,"建议web服务器响应头缺失 FRAME-OPTIONS头或者被设置成deny的响应体过滤了。","建议web服务器响应头缺失 FRAME-OPTIONS头或者被设置成deny的响应体过滤了。"
981406name,"检测全局集合参数X_CONTENT_TYPE_OPTIONS的值（Application Defects）","检测全局集合参数X_CONTENT_TYPE_OPTIONS的值（Application Defects）"
981406desc,"如果全局集合参数X_CONTENT_TYPE_OPTIONS的值为0 ，则设置参数global.x_content_type_options=0（Application Defects）","如果全局集合参数X_CONTENT_TYPE_OPTIONS的值为0 ，则设置参数global.x_content_type_options=0（Application Defects）"
981406harm_desc,"攻击者会利用使响应头缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的请求访问服务器。","攻击者会利用使响应头缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的请求访问服务器。"
981406suggest,"建议web服务器缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的响应体过滤了。","建议web服务器缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的响应体过滤了。"
981407name,"检测http响应头的Content-Type字段内容及X_CONTENT_TYPE_OPTIONS是否缺少（Application Defects）","检测http响应头的Content-Type字段内容及X_CONTENT_TYPE_OPTIONS是否缺少（Application Defects）"
981407desc,"如果匹配规则，则说明响应头部缺少Content-Type字段并且缺少X-Content-Type-Options字段或该字段没有设置成nosniff（Application Defects）","如果匹配规则，则说明响应头部缺少Content-Type字段并且缺少X-Content-Type-Options字段或该字段没有设置成nosniff（Application Defects）"
981407harm_desc,"攻击者会利用使响应头缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的请求访问服务器。","攻击者会利用使响应头缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的请求访问服务器。"
981407suggest,"建议web服务器缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的响应体过滤了。","建议web服务器缺失 content-type头或者X-Content-Type-Options同样缺失或被设置成'nosniff'的响应体过滤了。"
990002name,"检测请求头中的User-Agent字段内容1(Bat Robots)","检测请求头中的User-Agent字段内容1(Bat Robots)"
990002desc,"检测请求头中的User-Agent字段内容是否与modsecurity_35_scanners.data列表的短语匹配,如果匹配，则阻断访问，并设置相关参数值(Bat Robots)","检测请求头中的User-Agent字段内容是否与modsecurity_35_scanners.data列表的短语匹配,如果匹配，则阻断访问，并设置相关参数值(Bat Robots)"
990002harm_desc,"如果攻击者利用安全漏洞扫描工具浏览网页，请求的user agent中会包含了某些如arachni、absinthe、nikto等字段，当给工具找到了网页上面的漏洞，会进一步的实施攻击。","如果攻击者利用安全漏洞扫描工具浏览网页，请求的user agent中会包含了某些如arachni、absinthe、nikto等字段，当给工具找到了网页上面的漏洞，会进一步的实施攻击。"
990002suggest,建议在web服务器对请求头中的User-Agent字段进行检测，是否包含了某些如arachni、absinthe、nikto等字段，是则进行阻拦,建议在web服务器对请求头中的User-Agent字段进行检测，是否包含了某些如arachni、absinthe、nikto等字段，是则进行阻拦
990012name,"检测请求头中的User-Agent字段内容2(Bat Robots)","检测请求头中的User-Agent字段内容2(Bat Robots)"
990012desc,"检测请求头中的User-Agent字段内容是否与modsecurity_35_bad_robots.data列表的短语匹配,如果匹配，则阻断访问，并设置相关参数值(Bat Robots)","检测请求头中的User-Agent字段内容是否与modsecurity_35_bad_robots.data列表的短语匹配,如果匹配，则阻断访问，并设置相关参数值(Bat Robots)"
990012harm_desc,"如果请求是网络蠕虫，请求的user agent 中会包含了某些如missigua、floodgate、webaltbot等字段，并且有contentsmartz|errypicker|emailextract|harvest等字段，，它会扫描和攻击网络上存在系统漏洞。","如果请求是网络蠕虫，请求的user agent 中会包含了某些如missigua、floodgate、webaltbot等字段，并且有contentsmartz|errypicker|emailextract|harvest等字段，，它会扫描和攻击网络上存在系统漏洞。"
990012suggest,建议在web服务器对请求头中的User-Agent字段进行检测，识别是否bad_robot，如已知的有wisenutbot、prowebwalker等，可在网上查找,建议在web服务器对请求头中的User-Agent字段进行检测，识别是否bad_robot，如已知的有wisenutbot、prowebwalker等，可在网上查找
990901name,"检测请求头名称(Bat Robots)","检测请求头名称(Bat Robots)"
990901desc,"如果匹配，则阻断访问，并设置相关参数值(Bat Robots)","如果匹配，则阻断访问，并设置相关参数值(Bat Robots)"
990901harm_desc,攻击者利用安全漏洞扫描工具浏览网页，会在请求头中包含了acunetix-product，该工具会找到网页上面的漏洞，进而进一步的攻击。,攻击者利用安全漏洞扫描工具浏览网页，会在请求头中包含了acunetix-product，该工具会找到网页上面的漏洞，进而进一步的攻击。
990901suggest,建议web服务器拒绝请求头中包含了acunetix-product的请求访问,建议web服务器拒绝请求头中包含了acunetix-product的请求访问
990902name,"检测请求文件名(Bat Robots)","检测请求文件名(Bat Robots)"
990902desc,"如果请求文件名是nessustest或appscan_fingerprint，则阻断访问，并设置相关参数值(Bat Robots)","如果请求文件名是nessustest或appscan_fingerprint，则阻断访问，并设置相关参数值(Bat Robots)"
990902harm_desc,"攻击者利用安全漏洞扫描工具浏览网页，请求uri中文件名字会是nessustest 或者appscan_fingerprint，该工具会找到网页上面的漏洞，进而进一步的攻击。","攻击者利用安全漏洞扫描工具浏览网页，请求uri中文件名字会是nessustest 或者appscan_fingerprint，该工具会找到网页上面的漏洞，进而进一步的攻击。"
990902suggest,建议web服务器拒绝请求uri中文件名字会是nessustes的请求访问,建议web服务器拒绝请求uri中文件名字会是nessustes的请求访问
999003name,"检测XSS是否攻击已知的XSS弱点参数(Scanner Integration)","检测XSS是否攻击已知的XSS弱点参数(Scanner Integration)"
999003desc,"如果匹配规则，说明XSS攻击已知的弱点参数(Scanner Integration)","如果匹配规则，说明XSS攻击已知的弱点参数(Scanner Integration)"
999003harm_desc,攻击者如果对已知的弱点参数实行了攻击，此规则会记录下来。,攻击者如果对已知的弱点参数实行了攻击，此规则会记录下来。
999003suggest,,
999004name,"检测SQL是否攻击已知的SQL弱点参数(Scanner Integration)","检测SQL是否攻击已知的SQL弱点参数(Scanner Integration)"
999004desc,"如果匹配规则，说明SQL攻击已知的弱点参数(Scanner Integration)","如果匹配规则，说明SQL攻击已知的弱点参数(Scanner Integration)"
999004harm_desc,"在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。","在请求中利用select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符攻击者可进行SQL注入攻击。一旦注入成功，攻击者可获取数据库的管理用户权限，然后将数据库管理用户权限提升至操作系统管理用户权限，控制服务器操作系统，获取重要信息及机密文件。"
999004suggest,"建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤","建议在web服务器添加对含有select show top distinct from dual where group by order having limit offset union rownum as (case等敏感字符的数据进行过滤"
999005name,"检测请求文件类型是否是html（Ignore Static）","检测请求文件类型是否是html（Ignore Static）"
999005desc,"如果匹配规则，则说明是html文件（Ignore Static）","如果匹配规则，则说明是html文件（Ignore Static）"
999005harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。
999005suggest,,
999006name,"检测请求文件类型是否是Media（Ignore Static）","检测请求文件类型是否是Media（Ignore Static）"
999006desc,"如果匹配规则，则说明是Media文件（Ignore Static）","如果匹配规则，则说明是Media文件（Ignore Static）"
999006harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。
999006suggest,,
999008name,"检测是否要跳过关于没有参数的文本内容请求数据的检查（Skip Outbound Checks）","检测是否要跳过关于没有参数的文本内容请求数据的检查（Skip Outbound Checks）"
999008desc,"如果匹配规则，则跳过关于没有参数的文本内容请求数据的检查（Skip Outbound Checks）","如果匹配规则，则跳过关于没有参数的文本内容请求数据的检查（Skip Outbound Checks）"
999008harm_desc,,
999008suggest,,
999010name,"检测请求参数或参数名是否有http（Comment Spam）","检测请求参数或参数名是否有http（Comment Spam）"
999010desc,"如果请求参数或参数名中有http，则跳过下一个规则（Comment Spam）","如果请求参数或参数名中有http，则跳过下一个规则（Comment Spam）"
999010harm_desc,"垃圾评论是一种攻击，对象是对博客、论坛、留言板等会接受并显示游客提供的超级链接的交互网页。
这些垃圾评论制造者会专门发送一些自动的、随意的评论，并会携带一个链接到攻击者的站点，然后这些链接就会被人工的提高了在网站的搜索引擎中的排名，从而在网站的搜索结果中更加明显","垃圾评论是一种攻击，对象是对博客、论坛、留言板等会接受并显示游客提供的超级链接的交互网页。
这些垃圾评论制造者会专门发送一些自动的、随意的评论，并会携带一个链接到攻击者的站点，然后这些链接就会被人工的提高了在网站的搜索引擎中的排名，从而在网站的搜索结果中更加明显"
999010suggest,"建议使用第三方反垃圾系统。垃圾评论 90% 以上都是由机器人产生的，因此使用验证码也可以过滤掉大部分的垃圾评论。","建议使用第三方反垃圾系统。垃圾评论 90% 以上都是由机器人产生的，因此使用验证码也可以过滤掉大部分的垃圾评论。"
999011name,"初始化CommentSpam处理行为是“继续处理”（Comment Spam）","初始化CommentSpam处理行为是“继续处理”（Comment Spam）"
999011desc,"初始化Comment Spam处理行为是“继续处理”，并跳过Comment Spam检测规则（Comment Spam）","初始化Comment Spam处理行为是“继续处理”，并跳过Comment Spam检测规则（Comment Spam）"
999011harm_desc,,
999011suggest,,
1703071name,检测Content-Type长度异常,检测Content-Type长度异常
1703071desc,攻击者可在上传文件时通过修改HTTP请求头中的Content-Type值来触发该漏洞，进而执行系统命令,攻击者可在上传文件时通过修改HTTP请求头中的Content-Type值来触发该漏洞，进而执行系统命令
1703071harm_desc,"Apache Structs2的Jakarta Multipart parser插件存在远程代码执行漏洞，漏洞编号为CVE-2    017-5638。攻击者可以在使用该插件上传文件时，修改HTTP请求头中的Content-Type值来触发该漏洞，导致远程执行代码。","Apache Structs2的Jakarta Multipart parser插件存在远程代码执行漏洞，漏洞编号为CVE-2    017-5638。攻击者可以在使用该插件上传文件时，修改HTTP请求头中的Content-Type值来触发该漏洞，导致远程执行代码。"
1703071suggest,"修复Jakarta文件上传插件或者是存在漏洞的Struts 2版本请升级至St    ruts2安全版本","修复Jakarta文件上传插件或者是存在漏洞的Struts 2版本请升级至St    ruts2安全版本"
