id,中文,中文
2003508name, Wordpress wp-login.php redirect_to 盗窃认证信息尝试, Wordpress wp-login.php redirect_to 盗窃认证信息尝试
2003508harm_desc,WordPress中的wp-login.php文件允许远程攻击者借助redirect_to参数，重定向认证过的用户到其他网站和潜在的获得敏感信息。,WordPress中的wp-login.php文件允许远程攻击者借助redirect_to参数，重定向认证过的用户到其他网站和潜在的获得敏感信息。
2003508suggest,建议在web服务器把含有类似rss/show_webfeed.php?redirect_to=http/ftp的uri的请求给过滤了,建议在web服务器把含有类似rss/show_webfeed.php?redirect_to=http/ftp的uri的请求给过滤了
2003517name, iPhotoAlbum header.php存在参数与远程文件捆绑, iPhotoAlbum header.php存在参数与远程文件捆绑
2003517harm_desc,iPhotoAlbum 多个 远程文件包含漏洞--iPhotoAlbum是一款以PHP开发的Web相册系统。 iPhotoAlbum 1.1中存在多个PHP远程文件包含漏洞。 远程攻击者可通过lib/static/header.php的set_menu参数，执行任意PHP代码,iPhotoAlbum 多个 远程文件包含漏洞--iPhotoAlbum是一款以PHP开发的Web相册系统。 iPhotoAlbum 1.1中存在多个PHP远程文件包含漏洞。 远程攻击者可通过lib/static/header.php的set_menu参数，执行任意PHP代码
2003517suggest,"建议在web服务器把访问/header.php且存在set_menu参数的请求给过滤了
","建议在web服务器把访问/header.php且存在set_menu参数的请求给过滤了
"
2003669name, TopTree 存在参数与远程文件捆绑尝试 -- tpl_message.php right_file, TopTree 存在参数与远程文件捆绑尝试 -- tpl_message.php right_file
2003669harm_desc, PHP TopTree BBS 的templates/default/tpl_message.php中存在PHP远程文件包含漏洞。远程攻击者可以借助right_file参数中的一个URL，执行任意的PHP代码。, PHP TopTree BBS 的templates/default/tpl_message.php中存在PHP远程文件包含漏洞。远程攻击者可以借助right_file参数中的一个URL，执行任意的PHP代码。
2003669suggest,"建议在web服务器把访问/templates/default/tpl_message.php且存在right_file参数的请求给过滤了
","建议在web服务器把访问/templates/default/tpl_message.php且存在right_file参数的请求给过滤了
"
2003670name, Workbench Survival Guide 存在参数与远程文件捆绑尝试 -- headerfile.php path, Workbench Survival Guide 存在参数与远程文件捆绑尝试 -- headerfile.php path
2003670harm_desc,,
2003670suggest,"建议在web服务器把访问/header.php且存在path 参数的请求给过滤了
","建议在web服务器把访问/header.php且存在path 参数的请求给过滤了
"
2003671name, Versado CMS 存在参数与远程文件捆绑尝试 -- ajax_listado.php urlModulo, Versado CMS 存在参数与远程文件捆绑尝试 -- ajax_listado.php urlModulo
2003671harm_desc, Versado CMS 的includes/ajax_listado.php中存在PHP远程文件包含漏洞。远程攻击者可以借助urlModulo参数中的一个URL，执行任意的PHP代码。, Versado CMS 的includes/ajax_listado.php中存在PHP远程文件包含漏洞。远程攻击者可以借助urlModulo参数中的一个URL，执行任意的PHP代码。
2003671suggest,"建议在web服务器把访问/includes/ajax_listado.php且存在urlModulo参数的请求给过滤了
","建议在web服务器把访问/includes/ajax_listado.php且存在urlModulo参数的请求给过滤了
"
2003672name, PMECMS 存在参数与远程文件捆绑尝试 -- mod_image_index.php config pathMod, PMECMS 存在参数与远程文件捆绑尝试 -- mod_image_index.php config pathMod
2003672harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。"
2003672suggest,"建议在web服务器把访问/mod/image/index.php且存在config[pathMod]参数的请求给过滤了
","建议在web服务器把访问/mod/image/index.php且存在config[pathMod]参数的请求给过滤了
"
2003673name, PMECMS 存在参数与远程文件捆绑尝试 -- mod_liens_index.php config pathMod, PMECMS 存在参数与远程文件捆绑尝试 -- mod_liens_index.php config pathMod
2003673harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。"
2003673suggest,"建议在web服务器把访问/mod/liens/index.php且存在config[pathMod]参数的请求给过滤了
","建议在web服务器把访问/mod/liens/index.php且存在config[pathMod]参数的请求给过滤了
"
2003674name, PMECMS 存在参数与远程文件捆绑尝试 -- mod_liste_index.php config pathMod, PMECMS 存在参数与远程文件捆绑尝试 -- mod_liste_index.php config pathMod
2003674harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。"
2003674suggest,"建议在web服务器把访问/mod/liste/index.php且存在config[pathMod]参数的请求给过滤了
","建议在web服务器把访问/mod/liste/index.php且存在config[pathMod]参数的请求给过滤了
"
2003675name, PMECMS 存在参数与远程文件捆绑尝试 -- mod_special_index.php config pathMod, PMECMS 存在参数与远程文件捆绑尝试 -- mod_special_index.php config pathMod
2003675harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。"
2003675suggest,"建议在web服务器把访问/mod/special/index.php且存在config[pathMod]参数的请求给过滤了
","建议在web服务器把访问/mod/special/index.php且存在config[pathMod]参数的请求给过滤了
"
2003676name, PMECMS 存在参数与远程文件捆绑尝试 -- mod_texte_index.php config pathMod, PMECMS 存在参数与远程文件捆绑尝试 -- mod_texte_index.php config pathMod
2003676harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。"
2003676suggest,"建议在web服务器把访问/mod/texte/index.php且存在config[pathMod]参数的请求给过滤了
","建议在web服务器把访问/mod/texte/index.php且存在config[pathMod]参数的请求给过滤了
"
2003677name, Berylium2 存在参数与远程文件捆绑尝试 -- berylium-classes.php beryliumroot, Berylium2 存在参数与远程文件捆绑尝试 -- berylium-classes.php beryliumroot
2003677harm_desc,Berylium2 的berylium-classes.php中存在PHP远程文件包含漏洞。远程攻击者可以借助beryliumroot参数中的一个URL，执行任意的PHP代码。,Berylium2 的berylium-classes.php中存在PHP远程文件包含漏洞。远程攻击者可以借助beryliumroot参数中的一个URL，执行任意的PHP代码。
2003677suggest,建议web服务器把包含 /berylium-classes.php和beryliumroot参数的请求给过滤了。,建议web服务器把包含 /berylium-classes.php和beryliumroot参数的请求给过滤了。
2003678name,  Tropicalm 存在参数与远程文件捆绑尝试 -- dosearch.php RESPATH,  Tropicalm 存在参数与远程文件捆绑尝试 -- dosearch.php RESPATH
2003678harm_desc,Tropicalm Crowell Resource 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dosearch.php或(2)printfriendly.php的RESPATH参数中的一个URL，执行任意的PHP代码,Tropicalm Crowell Resource 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dosearch.php或(2)printfriendly.php的RESPATH参数中的一个URL，执行任意的PHP代码
2003678suggest,"建议在web服务器把访问/dosearch.php且存在RESPATH参数的请求给过滤了
","建议在web服务器把访问/dosearch.php且存在RESPATH参数的请求给过滤了
"
2003679name, DynamicPAD 存在参数与远程文件捆绑尝试 -- dp_logs.php HomeDir, DynamicPAD 存在参数与远程文件捆绑尝试 -- dp_logs.php HomeDir
2003679harm_desc,  DynamicPAD 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dp_logs.php或(2)index.php的HomeDir参数中的一个URL，执行任意的PHP代码。,  DynamicPAD 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dp_logs.php或(2)index.php的HomeDir参数中的一个URL，执行任意的PHP代码。
2003679suggest,建议web服务器把包含/dp_logs.php，HomeDir参数带有../的请求给过滤了。,建议web服务器把包含/dp_logs.php，HomeDir参数带有../的请求给过滤了。
2003680name, DynamicPAD 存在参数与远程文件捆绑尝试 -- index.php HomeDir, DynamicPAD 存在参数与远程文件捆绑尝试 -- index.php HomeDir
2003680harm_desc, DynamicPAD 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dp_logs.php或(2)index.php的HomeDir参数中的一个URL，执行任意的PHP代码。, DynamicPAD 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dp_logs.php或(2)index.php的HomeDir参数中的一个URL，执行任意的PHP代码。
2003680suggest,建议web服务器把包含/index.php，HomeDir参数带有../的请求给过滤了。,建议web服务器把包含/index.php，HomeDir参数带有../的请求给过滤了。
2003682name, E-Gads 存在参数与远程文件捆绑尝试 -- common.php locale, E-Gads 存在参数与远程文件捆绑尝试 -- common.php locale
2003682harm_desc,     E-GADS! 的common.php中存在PHP远程文件包含漏洞。远程攻击者可以执行任意的PHP代码。借助locale参数中的一个URL。,     E-GADS! 的common.php中存在PHP远程文件包含漏洞。远程攻击者可以执行任意的PHP代码。借助locale参数中的一个URL。
2003682suggest,建议web服务器把包含/common.php，locale参数带有../的请求给过滤了。,建议web服务器把包含/common.php，locale参数带有../的请求给过滤了。
2003683name, PHP Turbulence 存在参数与远程文件捆绑尝试 -- turbulence.php GLOBALS tcore, PHP Turbulence 存在参数与远程文件捆绑尝试 -- turbulence.php GLOBALS tcore
2003683harm_desc,PHP Turbulence 0.0.1 alpha的user/turbulence.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[tcore]参数中的一个URL，执行任意的PHP代码。,PHP Turbulence 0.0.1 alpha的user/turbulence.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[tcore]参数中的一个URL，执行任意的PHP代码。
2003683suggest,"建议在web服务器把访问/user/turbulence.php且存在GLOBALS[tcore]参数的请求给过滤了
","建议在web服务器把访问/user/turbulence.php且存在GLOBALS[tcore]参数的请求给过滤了
"
2003684name, MXBB 存在参数与远程文件捆绑尝试 -- faq.php module_root_path, MXBB 存在参数与远程文件捆绑尝试 -- faq.php module_root_path
2003684harm_desc,    mxBB FAQ & RULES的faq.php中存在PHP远程文件包含漏洞。远程攻击者可以借助module_root_path参数中的一个URL，执行任意的PHP代码。,    mxBB FAQ & RULES的faq.php中存在PHP远程文件包含漏洞。远程攻击者可以借助module_root_path参数中的一个URL，执行任意的PHP代码。
2003684suggest,"建议在web服务器把访问/faq.php且存在cmd参数的请求给过滤了
","建议在web服务器把访问/faq.php且存在cmd参数的请求给过滤了
"
2003685name,  Wordpress存在参数与远程文件捆绑尝试 -- wptable-button.php wpPATH,  Wordpress存在参数与远程文件捆绑尝试 -- wptable-button.php wpPATH
2003685harm_desc,,
2003685suggest,建议在web服务器把含有类似js/wptable-button.php?wpPATH=http/ftp的uri的请求给过滤了,建议在web服务器把含有类似js/wptable-button.php?wpPATH=http/ftp的uri的请求给过滤了
2003686name, Wordpress存在参数与远程文件捆绑尝试 -- wordtube-button.php wpPATH, Wordpress存在参数与远程文件捆绑尝试 -- wordtube-button.php wpPATH
2003686harm_desc,WordPress的wordTube插件中wordtube-button.php文件没有正确验证wpPATH参数的输入，允许攻击者通过包含本地或外部资源的任意文件导致执行任意命令。漏洞代码如下,WordPress的wordTube插件中wordtube-button.php文件没有正确验证wpPATH参数的输入，允许攻击者通过包含本地或外部资源的任意文件导致执行任意命令。漏洞代码如下
2003686suggest,建议在web服务器把含有类似wordtube-button.php?wpPATH=http/ftp的uri的请求给过滤了,建议在web服务器把含有类似wordtube-button.php?wpPATH=http/ftp的uri的请求给过滤了
2003687name, TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- payflow_pro.php abs_path, TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- payflow_pro.php abs_path
2003687harm_desc,,
2003687suggest,"建议在web服务器把访问/include/payment/payflow_pro.php且存在abs_path参数的请求给过滤了
","建议在web服务器把访问/include/payment/payflow_pro.php且存在abs_path参数的请求给过滤了
"
2003688name,  TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- global.php abs_path,  TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- global.php abs_path
2003688harm_desc,,
2003688suggest,"建议在web服务器把访问/global.php且存在abs_path参数的请求给过滤了
","建议在web服务器把访问/global.php且存在abs_path参数的请求给过滤了
"
2003689name, TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- libsecure.php abs_path, TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- libsecure.php abs_path
2003689harm_desc,,
2003689suggest,"建议在web服务器把访问m且存在abs_path参数的请求给过滤了
","建议在web服务器把访问m且存在abs_path参数的请求给过滤了
"
2003690name, Firefly 存在参数与远程文件捆绑尝试 -- config.php DOCUMENT_ROOT, Firefly 存在参数与远程文件捆绑尝试 -- config.php DOCUMENT_ROOT
2003690harm_desc,  FireFly 的modules/admin/include/config.php中存在PHP远程文件包含漏洞。远程攻击者可以借助DOCUMENT_ROOT参数中的一个URL，执行任意的PHP代码。,  FireFly 的modules/admin/include/config.php中存在PHP远程文件包含漏洞。远程攻击者可以借助DOCUMENT_ROOT参数中的一个URL，执行任意的PHP代码。
2003690suggest,建议web服务器把包含 /modules/admin/include/config.php，DOCUMENT_ROOT参数带有../的请求给过滤了。,建议web服务器把包含 /modules/admin/include/config.php，DOCUMENT_ROOT参数带有../的请求给过滤了。
2003691name, Pixaria Gallery 存在参数与远程文件捆绑尝试 -- psg.smarty.lib.php cfg sys base_path, Pixaria Gallery 存在参数与远程文件捆绑尝试 -- psg.smarty.lib.php cfg sys base_path
2003691harm_desc,,
2003691suggest,"建议在web服务器把访问/psg.smarty.lib.php且存在cfg[sys][base_path]参数的请求给过滤了
","建议在web服务器把访问/psg.smarty.lib.php且存在cfg[sys][base_path]参数的请求给过滤了
"
2003693name, NoAH 存在参数与远程文件捆绑尝试 -- mfa_theme.php tpls, NoAH 存在参数与远程文件捆绑尝试 -- mfa_theme.php tpls
2003693harm_desc, PHPtree的plugin/HP_DEV/cms2.php中存在PHP远程文件包含漏洞。远程攻击者可以借助s_dir参数中的一个URL，执行任意的PHP代码, PHPtree的plugin/HP_DEV/cms2.php中存在PHP远程文件包含漏洞。远程攻击者可以借助s_dir参数中的一个URL，执行任意的PHP代码
2003693suggest,"建议在web服务器把访问/plugin/HP_DEV/cms2.php且存在config[pathMod]参数的请求给过滤了
","建议在web服务器把访问/plugin/HP_DEV/cms2.php且存在config[pathMod]参数的请求给过滤了
"
2003696name, Wikivi5 存在参数与远程文件捆绑尝试 -- show.php sous_rep, Wikivi5 存在参数与远程文件捆绑尝试 -- show.php sous_rep
2003696harm_desc,Wikivi5的handlers/page/show.php中存在PHP远程文件包含漏洞。远程攻击者可以借助sous_rep参数中的一个URL，执行任意的PHP代码。,Wikivi5的handlers/page/show.php中存在PHP远程文件包含漏洞。远程攻击者可以借助sous_rep参数中的一个URL，执行任意的PHP代码。
2003696suggest,"建议在web服务器把访问/handlers/page/show.php且存在sous_rep参数的请求给过滤了
","建议在web服务器把访问/handlers/page/show.php且存在sous_rep参数的请求给过滤了
"
2003698name,  pfa CMS存在远程文件捆绑 index.php abs_path,  pfa CMS存在远程文件捆绑 index.php abs_path
2003698harm_desc,,
2003698suggest,"建议在web服务器把访问/index.php且存在abs_path参数的请求给过滤了
","建议在web服务器把访问/index.php且存在abs_path参数的请求给过滤了
"
2003699name, pfa CMS存在远程文件捆绑 checkout.php abs_path, pfa CMS存在远程文件捆绑 checkout.php abs_path
2003699harm_desc,,
2003699suggest,"建议在web服务器把访问/checkout.php且存在abs_path参数的请求给过滤了
","建议在web服务器把访问/checkout.php且存在abs_path参数的请求给过滤了
"
2003700name, pfa CMS存在远程文件捆绑 libsecure.php abs_path, pfa CMS存在远程文件捆绑 libsecure.php abs_path
2003700harm_desc,,
2003700suggest,"建议在web服务器把访问/libsecure.php且存在abs_path参数的请求给过滤了
","建议在web服务器把访问/libsecure.php且存在abs_path参数的请求给过滤了
"
2003701name,  pfa CMS存在远程文件捆绑 index.php repinc,  pfa CMS存在远程文件捆绑 index.php repinc
2003701harm_desc,      phpFullAnnu CMS (pfa CMS) 的index.php中存在PHP远程文件包含漏洞。远程攻击者可以借助repinc参数中的一个URL，执行任意的PHP代码。,      phpFullAnnu CMS (pfa CMS) 的index.php中存在PHP远程文件包含漏洞。远程攻击者可以借助repinc参数中的一个URL，执行任意的PHP代码。
2003701suggest,"建议在web服务器把访问/index.php且存在repinc参数的请求给过滤了
","建议在web服务器把访问/index.php且存在repinc参数的请求给过滤了
"
2003702name,  Pixaria Gallery存在远程文件捆绑 class.Smarty.php cfg sys base_path,  Pixaria Gallery存在远程文件捆绑 class.Smarty.php cfg sys base_path
2003702harm_desc,Pixaria Gallery 'Class.Smarty.PHP' 远程文件包含漏洞--Pixaria Gallery 的resources/includes/class.Smarty.php中存在PHP远程文件包含漏洞。远程攻击者可以借助cfg[sys][base_path]参数中的一个URL，执行任意的PHP代码,Pixaria Gallery 'Class.Smarty.PHP' 远程文件包含漏洞--Pixaria Gallery 的resources/includes/class.Smarty.php中存在PHP远程文件包含漏洞。远程攻击者可以借助cfg[sys][base_path]参数中的一个URL，执行任意的PHP代码
2003702suggest,"建议在web服务器把访问/resources/includes/class.Smarty.php且存在cfg[sys][base_path]参数的请求给过滤了
","建议在web服务器把访问/resources/includes/class.Smarty.php且存在cfg[sys][base_path]参数的请求给过滤了
"
2003703name,  phpMyPortal 存在参数与远程文件捆绑尝试 -- articles.inc.php GLOBALS CHEMINMODULES,  phpMyPortal 存在参数与远程文件捆绑尝试 -- articles.inc.php GLOBALS CHEMINMODULES
2003703harm_desc,phpMyPortal 的inc/articles.inc.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[CHEMINMODULES]参数中的一个URL，执行任意的PHP代码。,phpMyPortal 的inc/articles.inc.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[CHEMINMODULES]参数中的一个URL，执行任意的PHP代码。
2003703suggest,"建议在web服务器把访问/inc/articles.inc.php且存在GLOBALS[CHEMINMODULES]参数的请求给过滤了
","建议在web服务器把访问/inc/articles.inc.php且存在GLOBALS[CHEMINMODULES]参数的请求给过滤了
"
2003704name,  AForum存在远程文件捆绑 func.php CommonAbsDir,  AForum存在远程文件捆绑 func.php CommonAbsDir
2003704harm_desc,    aForum 的common/func.php中存在PHP远程文件包含漏洞。远程攻击者可以借助CommonAbsDir参数中的一个URL，执行任意的PHP代码。,    aForum 的common/func.php中存在PHP远程文件包含漏洞。远程攻击者可以借助CommonAbsDir参数中的一个URL，执行任意的PHP代码。
2003704suggest,建议web服务器把包含/common/func.phpp和CommonAbsDir参数的请求给过滤了。,建议web服务器把包含/common/func.phpp和CommonAbsDir参数的请求给过滤了。
2003705name,  TellTarget CMS存在远程文件捆绑 site_conf.php ordnertiefe,  TellTarget CMS存在远程文件捆绑 site_conf.php ordnertiefe
2003705harm_desc,"        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。","        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。"
2003705suggest,"建议在web服务器把访问/site_conf.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
","建议在web服务器把访问/site_conf.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
"
2003706name, TellTarget CMS存在远程文件捆绑 class.csv.php tt_docroot, TellTarget CMS存在远程文件捆绑 class.csv.php tt_docroot
2003706harm_desc,"        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。","        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。"
2003706suggest,"建议在web服务器把访问/class.csv.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
","建议在web服务器把访问/class.csv.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
"
2003707name, TellTarget CMS存在远程文件捆绑 produkte_nach_serie.php tt_docroot, TellTarget CMS存在远程文件捆绑 produkte_nach_serie.php tt_docroot
2003707harm_desc,"        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。","        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。"
2003707suggest,"建议在web服务器把访问/produkte_nach_serie.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
","建议在web服务器把访问/produkte_nach_serie.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
"
2003708name,  TellTarget CMS存在远程文件捆绑 ref_kd_rubrik.php tt_docroot,  TellTarget CMS存在远程文件捆绑 ref_kd_rubrik.php tt_docroot
2003708harm_desc,"        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。","        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。"
2003708suggest,"建议在web服务器把访问/functionen/ref_kd_rubrik.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
","建议在web服务器把访问/functionen/ref_kd_rubrik.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
"
2003709name, TellTarget CMS存在远程文件捆绑 hg_referenz_jobgalerie.php tt_docroot, TellTarget CMS存在远程文件捆绑 hg_referenz_jobgalerie.php tt_docroot
2003709harm_desc,"        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。","        telltarget CMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到site_conf.php的(1)ordnertiefe参数、到functionen/中的(a)class.csv.php,(b)produkte_nach_serie.php或(c)ref_kd_rubrik.php文件、module/中的(d)hg_referenz_jobgalerie.php,(e)surfer_anmeldung_NWL.php,(f)produkte_nach_serie_alle.php,(g)surfer_aendern.php,(h)ref_kd_rubrik.php或(i)referenz.php文件或standard/中的(j)1/lay.php或(k)3/lay.php文件的(2)tt_docroot参数中的一个URL，执行任意的PHP代码。"
2003709suggest,"建议在web服务器把访问/hg_referenz_jobgalerie.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
","建议在web服务器把访问/hg_referenz_jobgalerie.php且存在ARGS_NAMES=tt_docroot参数的请求给过滤了
"
2003710name, TellTarget CMS存在远程文件捆绑 surfer_anmeldung_NWL.php tt_docroot, TellTarget CMS存在远程文件捆绑 surfer_anmeldung_NWL.php tt_docroot
