id,中文,en-US
2002800harm_desc,"   PHP-NUKE iFrame模块的iframe.php中存在PHP远程文件包含漏洞。远程攻击者可以借助文件参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in iframe.php in PHP-NUKE iFrame module. Remote attackers can execute arbitrary PHP code with a URL in the file parameters."
2002800suggest,"建议在web服务器把访问/iframe.php且存在file参数的请求给过滤了
","Proposed in the web server to visit /iframe.php file parameters and the existence of the request to be filtered"
2002996name," GeekLog存在远程文件捆绑漏洞","GeekLog Remote File Include Vulnerability"
2002996desc,"检测请求是否为GET，和在请求行中带有      /acopia/manager/DiagLogListActionBody.do。  logFile的变量是否包含../。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is Get and if the /acopia/manager/DiagLogListActionBody.do is in the request line. Check if the variable of logFile contains ../. If the rule is matched, block the request and set related parameter."
2002996harm_desc,"Geeklog 1.4.0到1.4.0sr1版以及1.3.11到1.3.11sr4版的lib-common.php中存在多个未明漏洞。远程攻击者可以借助(1)未明参数中的绝对路径和(2)language cookie包含任意本地文件并执行任意代码，如使用error.log执行代码所演示的那样。","There are several unidentified vulnerabilities in lib-common.php in Geeklog 1.4.0 to 1.4.0sr1 and 1.3.11 to 1.3.11sr4. Remote attackers can leverage (1) the absolute path in the unknown parameter and (2) the language cookie to include any local file and execute arbitrary code, as demonstrated by executing the code with error.log."
2002996suggest,建议web服务器把包含.php和请求参数中带有一个URL的请求给过滤了。,"It is recommended that the web server filter requests that include .php and a URL with the request parameters."
2003167name,"检测 tikiwiki featured link XSS攻击","tikiwiki featured link XSS attempt Detected"
2003167desc,"如果在请求行 查找到/tiki-featured_link.php和/iframe>且带有参数type则规则匹配，拦截并设置参数","If the tiki-featured_link.php, /iframe> and the 'type' parameter are found in the request line. It means that the rule is matched, block the request and set relevant parameter."
2003167harm_desc,Tikiwiki中tiki-featured_link.php存在跨站脚本攻击(XSS)漏洞，远程攻击者可以通过可逃避过滤的url参数来注入任意Web脚本或HTML，如使用一个含有有缺陷的内嵌SCRIPT元素的参数值。,"There is a cross-site scripting (XSS) vulnerability in tiki-featured_link.php in Tikiwiki in which remote attackers can inject arbitrary Web scripts or HTML via URL-avoidable parameters such as using a parameter value that contains a flawed embedded SCRIPT element ."
2003167suggest,"建议在web服务器把访问tiki-featured_link.php且存在type参数名与 /iframe标签有关等关键字都请求给过滤了","Proposed in the web server to visit tiki-featured_link.php and there is type parameter name and / iframe tags and other keywords are requested to filter"
2003333name,"  PHP Gnopaster Common.php存在参数与远程文件捆绑","PHP Gnopaster Common.php remote file include Vulnerability"
2003333desc,"检测请求是否为GET，和在请求行中带有      /includes/common.php。 QUERY_STRING|REQUEST_BODY的变量是否包含root_path=(ftps?|https?|php):/。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is Get and if the /includes/common.php is in the request line. Check if the variable of QUERY_STRING|REQUEST_BODY contains root_path=(ftps?|https?|php):/. If the rule is matched, block the request and set related parameter."
2003333harm_desc,"  NitroTech是一个完全定制的网页系统。 
        NitroTech 0.0.3a版本的includes/common.php中存在PHP远程文件包含漏洞。远程攻击者可以借助根参数中的一个URL，执行任意PHP代码。","PHP remote file inclusion vulnerability exists in includes / common.php for NitroTech 0.0.3a version. Remote attackers can execute arbitrary PHP code with a URL in the root parameter."
2003333suggest,建议web服务器把包含/includes/common.php，请求参数带有一个URL的请求给过滤了。,"It is recommended that the web server filter requests that contain /includes/common.php, request parameters with a URL."
2003508name," Wordpress wp-login.php redirect_to 盗窃认证信息尝试","Wordpress wp-login.php redirect_to credentials stealing attempt"
2003508desc,"检测请求行中是否包含  /wp-login.php和QUERY_STRING|REQUEST_BODY中是否包含redirect_to=(ht|f)tps?:/。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /wp-login.php and if QUERY_STRING|REQUEST_BODY contains redirect_to=(ht|f)tps?:/. If the rule is matched, block the request and set related parameter."
2003508harm_desc,WordPress中的wp-login.php文件允许远程攻击者借助redirect_to参数，重定向认证过的用户到其他网站和潜在的获得敏感信息。,"The wp-login.php file in WordPress allows remote attackers to redirect authenticated users to other websites and potentially obtain sensitive information using the redirect_to parameter."
2003508suggest,建议在web服务器把含有类似rss/show_webfeed.php?redirect_to=http/ftp的uri的请求给过滤了,"Proposed in the web server to contain similar rss / show_webfeed.php? Redirect_to = http / ftp uri request to be filtered"
2003517name," iPhotoAlbum header.php存在参数与远程文件捆绑","iPhotoAlbum header.php remote file include"
2003517desc,"检测请求行中是否包含 GET和     /header.php。是否存在带有远程文件包含的参数set_menu。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains GET and /wp-login.php, and check if there is a parameter 'set_menu' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003517harm_desc,"iPhotoAlbum 多个 远程文件包含漏洞--iPhotoAlbum是一款以PHP开发的Web相册系统。 iPhotoAlbum 1.1中存在多个PHP远程文件包含漏洞。 远程攻击者可通过lib/static/header.php的set_menu参数，执行任意PHP代码","iPhotoAlbum Multiple Remote File Inclusions Vulnerability - iPhotoAlbum is a web album system developed with PHP. Multiple PHP Remote File Inclusions in iPhotoAlbum 1.1. Remote attackers can execute arbitrary PHP code via the set_menu argument to lib / static / header.php"
2003517suggest,"建议在web服务器把访问/header.php且存在set_menu参数的请求给过滤了
","Proposed in the web server to visit /header.php and set_menu parameters of the request to be filtered"
2003669name," TopTree 存在参数与远程文件捆绑尝试 -- tpl_message.php right_file","TopTree Remote Inclusion Attempt -- tpl_message.php right_file"
2003669desc,"检测请求行中是否包含 GET和/templates/default/tpl_message.php。是否存在带有远程文件包含的参数right_file。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains GET and /templates/default/tpl_message.php, and check if there is a parameter 'right_file' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003669harm_desc," PHP TopTree BBS 的templates/default/tpl_message.php中存在PHP远程文件包含漏洞。远程攻击者可以借助right_file参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in templates / default / tpl_message.php in PHP TopTree BBS. Remote attackers can execute arbitrary PHP code with a URL in the right_file parameter."
2003669suggest,"建议在web服务器把访问/templates/default/tpl_message.php且存在right_file参数的请求给过滤了
","Proposed to visit the web server /templates/default/tpl_message.php right_file parameters and the existence of the request to filter"
2003670name," Workbench Survival Guide 存在参数与远程文件捆绑尝试 -- headerfile.php path","Workbench Survival Guide Remote Inclusion Attempt -- headerfile.php path"
2003670desc,"检测请求行中是否包含 GET和        /header.php。是否存在带有远程文件包含的参数path。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains GET and /header.php, and check if there is a parameter 'path' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003670harm_desc,,"PHP remote file inclusion vulnerability exists in header.php of workbench survival guide. A remote attacker can execute arbitrary PHP code with a URL in the path parameter."
2003670suggest,"建议在web服务器把访问/header.php且存在path 参数的请求给过滤了
","Proposed in the web server to visit /header.php and the existence of the path parameter request to be filtered"
2003671name," Versado CMS 存在参数与远程文件捆绑尝试 -- ajax_listado.php urlModulo","Versado CMS Remote Inclusion Attempt -- ajax_listado.php urlModulo"
2003671desc,"检测请求行中是否包含 /includes/ajax_listado.php。是否存在带有远程文件包含的参数urlModulo。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /includes/ajax_listado.php, and check if there is a parameter 'urlModulo' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003671harm_desc," Versado CMS 的includes/ajax_listado.php中存在PHP远程文件包含漏洞。远程攻击者可以借助urlModulo参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in includes / ajax_listado.php for Versado CMS. Remote attackers can execute arbitrary PHP code with a URL in the urlModulo parameter."
2003671suggest,"建议在web服务器把访问/includes/ajax_listado.php且存在urlModulo参数的请求给过滤了
","It is recommended that the web server filter the request to access /includes/ajax_listado.php with the urlModulo parameter"
2003672name," PMECMS 存在参数与远程文件捆绑尝试 -- mod_image_index.php config pathMod","PMECMS Remote Inclusion Attempt -- mod_image_index.php config pathMod"
2003672desc,"检测请求是否为GET，和在请求行中带有           /mod/image/index.php。是否存在带有远程文件包含的参数config[pathMod]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /mod/image/index.php is in the request line. Check if there is a parameter 'config[pathMod]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003672harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in PMECMS. Remote attackers can rely on the index (1) mod / image /, (2) mod / liens /, (3) mod / liste /, (4) mod / special /, or (5) mod / texte / One of the .php config [pathMod] parameters in a URL that executes arbitrary PHP code."
2003672suggest,"建议在web服务器把访问/mod/image/index.php且存在config[pathMod]参数的请求给过滤了
","Proposed in the web server to visit / mod / image / index.php and the existence of config [pathMod] parameters to the request"
2003673name," PMECMS 存在参数与远程文件捆绑尝试 -- mod_liens_index.php config pathMod","PMECMS Remote Inclusion Attempt -- mod_liens_index.php config pathMod"
2003673desc,"检测请求是否为GET，和在请求行中带有          /mod/liens/index.php。是否存在带有远程文件包含的参数config[pathMod]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /mod/liens/index.php is in the request line. Check if there is a parameter 'config[pathMod]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003673harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in PMECMS. Remote attackers can rely on the index (1) mod / image /, (2) mod / liens /, (3) mod / liste /, (4) mod / special /, or (5) mod / texte / One of the .php config [pathMod] parameters in a URL that executes arbitrary PHP code."
2003673suggest,"建议在web服务器把访问/mod/liens/index.php且存在config[pathMod]参数的请求给过滤了
","Proposed in the web server to visit /mod/liens/index.php and config [pathMod] parameters of the request to filter"
2003674name," PMECMS 存在参数与远程文件捆绑尝试 -- mod_liste_index.php config pathMod","PMECMS Remote Inclusion Attempt -- mod_liste_index.php config pathMod"
2003674desc,"检测请求是否为GET，和在请求行中带有          /mod/liste/index.php。是否存在带有远程文件包含的参数config[pathMod]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /mod/liste/index.php is in the request line. Check if there is a parameter 'config[pathMod]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003674harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in PMECMS. Remote attackers can rely on the index (1) mod / image /, (2) mod / liens /, (3) mod / liste /, (4) mod / special /, or (5) mod / texte / One of the .php config [pathMod] parameters in a URL that executes arbitrary PHP code."
2003674suggest,"建议在web服务器把访问/mod/liste/index.php且存在config[pathMod]参数的请求给过滤了
","Proposed in the web server access / mod / liste / index.php and the existence of config [pathMod] parameters to the request"
2003675name," PMECMS 存在参数与远程文件捆绑尝试 -- mod_special_index.php config pathMod","PMECMS Remote Inclusion Attempt -- mod_special_index.php config pathMod"
2003675desc,"检测请求是否为GET，和在请求行中带有          /mod/special/index.php。是否存在带有远程文件包含的参数config[pathMod]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /mod/special/index.php is in the request line. Check if there is a parameter 'config[pathMod]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003675harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in PMECMS. Remote attackers can rely on the index (1) mod / image /, (2) mod / liens /, (3) mod / liste /, (4) mod / special /, or (5) mod / texte / One of the .php config [pathMod] parameters in a URL that executes arbitrary PHP code."
2003675suggest,"建议在web服务器把访问/mod/special/index.php且存在config[pathMod]参数的请求给过滤了
","Proposed in the web server to visit / mod / special / index.php and the existence of config [pathMod] parameters to the request"
2003676name," PMECMS 存在参数与远程文件捆绑尝试 -- mod_texte_index.php config pathMod","PMECMS Remote Inclusion Attempt -- mod_texte_index.php config pathMod"
2003676desc,"检测请求是否为GET，和在请求行中带有          /mod/texte/index.php。是否存在带有远程文件包含的参数config[pathMod]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /mod/texte/index.php is in the request line. Check if there is a parameter 'config[pathMod]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003676harm_desc,"   PMECMS 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)mod/image/,(2)mod/liens/,(3)mod/liste/,(4)mod/special/, 或(5)mod/texte/中的index.php的config[pathMod]参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in PMECMS. Remote attackers can rely on the index (1) mod / image /, (2) mod / liens /, (3) mod / liste /, (4) mod / special /, or (5) mod / texte / One of the .php config [pathMod] parameters in a URL that executes arbitrary PHP code."
2003676suggest,"建议在web服务器把访问/mod/texte/index.php且存在config[pathMod]参数的请求给过滤了
","It is recommended that the web server filter the request to access /mod/texte/index.php with the config [pathMod] argument"
2003677name," Berylium2 存在参数与远程文件捆绑尝试 -- berylium-classes.php beryliumroot","Berylium2 Remote Inclusion Attempt -- berylium-classes.php beryliumroot"
2003677desc,"检测请求是否为GET，和在请求行中带有     /berylium-classes.php。ARGS_NAMES参数的值是否包含beryliumroot。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /berylium-classes.php is in the request line. And check if the value of 'ARGS_NAMES' parameter contains beryliumroot. If the rule is matched, block the request and set related parameter."
2003677harm_desc,"Berylium2 的berylium-classes.php中存在PHP远程文件包含漏洞。远程攻击者可以借助beryliumroot参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in berylium-classes.php for Berylium2. Remote attackers can execute arbitrary PHP code with the help of one of the beryliumroot parameters."
2003677suggest,"建议web服务器把包含 /berylium-classes.php和beryliumroot参数的请求给过滤了。","It is recommended that the web server filter requests containing the /berylium-classes.php and beryliumroot parameters."
2003678name,"  Tropicalm 存在参数与远程文件捆绑尝试 -- dosearch.php RESPATH","Tropicalm Remote Inclusion Attempt -- dosearch.php RESPATH"
2003678desc,"检测请求行中是否包含 和 /dosearch.php。是否存在带有远程文件包含的参数RESPATH。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /dosearch.php and check if there is a parameter 'RESPATH' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003678harm_desc,"Tropicalm Crowell Resource 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dosearch.php或(2)printfriendly.php的RESPATH参数中的一个URL，执行任意的PHP代码","Multiple PHP Remote File Inclusions in Tropicalm Crowell Resource. A remote attacker can execute arbitrary PHP code with a URL in the RESPATH parameter submitted to (1) dosearch.php or (2) printfriendly.php"
2003678suggest,"建议在web服务器把访问/dosearch.php且存在RESPATH参数的请求给过滤了
","It is recommended that the web server filter the request to access /dosearch.php with the RESPATH parameter"
2003679name," DynamicPAD 存在参数与远程文件捆绑尝试 -- dp_logs.php HomeDir","DynamicPAD Remote Inclusion Attempt -- dp_logs.php HomeDir"
2003679desc,"检测请求是否为GET，和在请求行中带有       /dp_logs.php。  是否存在带有远程文件包含的参数HomeDir。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /dp_logs.php is in the request line. Check if there is a parameter 'HomeDir' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003679harm_desc,"  DynamicPAD 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dp_logs.php或(2)index.php的HomeDir参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in DynamicPAD. A remote attacker can execute arbitrary PHP code with a URL in the HomeDir parameter submitted to (1) dp_logs.php or (2) index.php."
2003679suggest,建议web服务器把包含/dp_logs.php，HomeDir参数带有../的请求给过滤了。,"Proposed web server contains /dp_logs.php, HomeDir parameters ../ with the request to the filter."
2003680name," DynamicPAD 存在参数与远程文件捆绑尝试 -- index.php HomeDir","DynamicPAD Remote Inclusion Attempt -- index.php HomeDir"
2003680desc,"检测请求是否为GET，和在请求行中带有      /index.php。 是否存在带有远程文件包含的参数HomeDir。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /index.php in the request line. Check if there is a parameter 'HomeDir' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003680harm_desc," DynamicPAD 中存在多个PHP远程文件包含漏洞。远程攻击者可以借助提交到(1)dp_logs.php或(2)index.php的HomeDir参数中的一个URL，执行任意的PHP代码。","Multiple PHP remote file inclusion vulnerabilities exist in DynamicPAD. A remote attacker can execute arbitrary PHP code with a URL in the HomeDir parameter submitted to (1) dp_logs.php or (2) index.php."
2003680suggest,建议web服务器把包含/index.php，HomeDir参数带有../的请求给过滤了。,"Proposed web server contains /index.php, HomeDir parameters ../ with the request to the filter."
2003682name," E-Gads 存在参数与远程文件捆绑尝试 -- common.php locale","E-Gads Remote Inclusion Attempt -- common.php locale"
2003682desc,"检测请求是否为GET，和在请求行中带有       /common.php。  是否存在带有远程文件包含的参数locale。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /common.php in the request line. Check if there is a parameter 'locale' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003682harm_desc,"     E-GADS! 的common.php中存在PHP远程文件包含漏洞。远程攻击者可以执行任意的PHP代码。借助locale参数中的一个URL。","PHP remote file inclusion vulnerability exists in E-GADS! Common.php. Remote attackers can execute arbitrary PHP code. With a URL in the locale parameter."
2003682suggest,建议web服务器把包含/common.php，locale参数带有../的请求给过滤了。,"Proposed web server contains /common.php, locale parameters ../ with the request to the filter."
2003683name," PHP Turbulence 存在参数与远程文件捆绑尝试 -- turbulence.php GLOBALS tcore","PHP Turbulence Remote Inclusion Attempt -- turbulence.php GLOBALS tcore"
2003683desc,"检测请求是否为GET，和在请求行中带有          /user/turbulence.php。是否存在带有远程文件包含的参数GLOBALS[tcore]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and is the /user/turbulence.php is in the request line. Check if there is a parameter 'GLOBALS[tcore]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003683harm_desc,"PHP Turbulence 0.0.1 alpha的user/turbulence.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[tcore]参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in user / turbulence.php in PHP Turbulence 0.0.1 alpha. Remote attackers can execute arbitrary PHP code with the help of a URL in the GLOBALS [tcore] parameter."
2003683suggest,"建议在web服务器把访问/user/turbulence.php且存在GLOBALS[tcore]参数的请求给过滤了
","It is recommended that the web server filter the request to access /user/turbulence.php with the GLOBALS [tcore] parameter"
2003684name," MXBB 存在参数与远程文件捆绑尝试 -- faq.php module_root_path","MXBB Remote Inclusion Attempt -- faq.php module_root_path"
2003684desc,"检测请求行中是否包含 GET和        /faq.php。是否存在带有远程文件包含的参数cmd。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains GET and /faq.php and check if there is a parameter 'cmd' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003684harm_desc,"    mxBB FAQ & RULES的faq.php中存在PHP远程文件包含漏洞。远程攻击者可以借助module_root_path参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in faq.php for mxBB FAQ & RULES. Remote attackers can execute arbitrary PHP code with the help of one of the module_root_path parameters."
2003684suggest,"建议在web服务器把访问/faq.php且存在cmd参数的请求给过滤了
","Proposed in the web server to visit /faq.php cmd parameters and the existence of the request to filter"
2003685name,"  Wordpress存在参数与远程文件捆绑尝试 -- wptable-button.php wpPATH","Wordpress Remote Inclusion Attempt -- wptable-button.php wpPATH"
2003685desc,"检测请求行中是否包含  /js/wptable-button.php和 wpPATH中是否包含(https?|ftps?|php):/)。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /js/wptable-button.php and check if wpPATH contains (https?|ftps?|php):/). If the rule is matched, block the request and set related parameter"
2003685harm_desc,,"The wp-Table plugin's js / wptable-button.php file does not validate the wpPATH parameter input, allowing an attacker to execute arbitrary commands through any file containing local or external resources."
2003685suggest,建议在web服务器把含有类似js/wptable-button.php?wpPATH=http/ftp的uri的请求给过滤了,"Proposed in the web server to contain similar js / wptable-button.php? WpPATH = http / ftp uri request to be filtered"
2003686name," Wordpress存在参数与远程文件捆绑尝试 -- wordtube-button.php wpPATH","Wordpress Remote Inclusion Attempt -- wordtube-button.php wpPATH"
2003686desc,"检测请求行中是否包含  /wordtube-button.php和 wpPATH中是否包含(https?|ftps?|php):/)。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /wordtube-button.php and check if wpPATH contains (https?|ftps?|php):/). If the rule is matched, block the request and set related parameter."
2003686harm_desc,WordPress的wordTube插件中wordtube-button.php文件没有正确验证wpPATH参数的输入，允许攻击者通过包含本地或外部资源的任意文件导致执行任意命令。漏洞代码如下,"WordPress's WordTube Plugin The wordtube-button.php file does not validate the wpPATH parameter input, allowing an attacker to execute arbitrary commands through any file containing local or external resources."
2003686suggest,建议在web服务器把含有类似wordtube-button.php?wpPATH=http/ftp的uri的请求给过滤了,"Proposed in the web server to contain similar wordtube-button.php? WpPATH = http / ftp uri request to filter"
2003687name," TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- payflow_pro.php abs_path","TurnKeyWebTools Remote Inclusion Attempt -- payflow_pro.php abs_path"
2003687desc,"检测请求行中是否包含 /include/payment/payflow_pro.php。是否存在带有远程文件包含的参数abs_path。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /include/payment/payflow_pro.php and check if there is a parameter 'abs_path' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003687harm_desc,,"Turnkey Web Tools Multiple PHP remote file inclusion vulnerabilities exist in SunShop Shopping Cart. A remote attacker can execute arbitrary PHP code with a URL from the abs_path parameter submitted to (1) include / payment / payflow_pro.php, (2) global.php, or (3) libsecure.php."
2003687suggest,"建议在web服务器把访问/include/payment/payflow_pro.php且存在abs_path参数的请求给过滤了
","It is recommended that the web server filter requests for access to /include/payment/payflow_pro.php with the abs_path parameter"
2003688name,"  TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- global.php abs_path","TurnKeyWebTools Remote Inclusion Attempt -- global.php abs_path"
2003688desc,"检测请求行中是否包含 /global.php。是否存在带有远程文件包含的参数abs_path。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /global.php and check if there is a parameter 'abs_path' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003688harm_desc,,"Turnkey Web Tools Multiple PHP remote file inclusion vulnerabilities exist in SunShop Shopping Cart. A remote attacker can execute arbitrary PHP code with a URL from the abs_path parameter submitted to (1) include / payment / payflow_pro.php, (2) global.php, or (3) libsecure.php."
2003688suggest,"建议在web服务器把访问/global.php且存在abs_path参数的请求给过滤了
","It is recommended that the web server filter requests for access to /global.php with the abs_path parameter"
2003689name," TurnKeyWebTools 存在参数与远程文件捆绑尝试 -- libsecure.php abs_path","TurnKeyWebTools Remote Inclusion Attempt -- libsecure.php abs_path"
2003689desc,"检测请求行中是否包含  /libsecure.php。是否存在带有远程文件包含的参数abs_path。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains /libsecure.php and check if there is a parameter 'abs_path' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003689harm_desc,,"Turnkey Web Tools Multiple PHP remote file inclusion vulnerabilities exist in SunShop Shopping Cart. A remote attacker can execute arbitrary PHP code with a URL from the abs_path parameter submitted to (1) include / payment / payflow_pro.php, (2) global.php, or (3) libsecure.php."
2003689suggest,"建议在web服务器把访问m且存在abs_path参数的请求给过滤了
","It is recommended that the web server filter requests for access to libsecure.php with the abs_path parameter"
2003690name," Firefly 存在参数与远程文件捆绑尝试 -- config.php DOCUMENT_ROOT","Firefly Remote Inclusion Attempt -- config.php DOCUMENT_ROOT"
2003690desc,"检测请求是否为GET，和在请求行中带有      /modules/admin/include/config.php。  是否存在带有远程文件包含的参数DOCUMENT_ROOT。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /modules/admin/include/config.php is in the request line. Check if there is a parameter 'DOCUMENT_ROOT' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003690harm_desc,"  FireFly 的modules/admin/include/config.php中存在PHP远程文件包含漏洞。远程攻击者可以借助DOCUMENT_ROOT参数中的一个URL，执行任意的PHP代码。","PHP remote file inclusion vulnerability exists in FireFly's modules / admin / include / config.php. Remote attackers can execute arbitrary PHP code using one of the URLs in the DOCUMENT_ROOT parameter."
2003690suggest,"建议web服务器把包含 /modules/admin/include/config.php，DOCUMENT_ROOT参数带有../的请求给过滤了。","Proposed web server contains / module / admin / include / config.php, DOC.DOCUMENT_ROOT parameters with the request to the filter."
2003691name," Pixaria Gallery 存在参数与远程文件捆绑尝试 -- psg.smarty.lib.php cfg sys base_path","Pixaria Gallery Remote Inclusion Attempt -- psg.smarty.lib.php cfg sys base_path"
2003691desc,"检测请求是否为GET，和在请求行中带有          /psg.smarty.lib.php。是否存在带有远程文件包含的参数cfg[sys][base_path]。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /psg.smarty.lib.php is in the request line. Check if there is a parameter 'cfg[sys][base_path]' with remote file inclusion. If the rule is matched, block the request and set related parameter."
2003691harm_desc,,"Multiple PHP Remote File Inclusions in Pixaria Gallery. A remote attacker can execute arbitrary PHP code with the help of the cfg [sys] [base_path] parameter submitted to psg.smarty.lib.php and a URL in a specific include and library script."
2003691suggest,"建议在web服务器把访问/psg.smarty.lib.php且存在cfg[sys][base_path]参数的请求给过滤了
","It is recommended that the web server filter requests that access /psg.smarty.lib.php and that have cfg [sys] [base_path] parameters"
2003693name," NoAH 存在参数与远程文件捆绑尝试 -- mfa_theme.php tpls","NoAH Remote Inclusion Attempt -- mfa_theme.php tpls"
2003693desc,"检测请求是否为GET，和在请求行中带有        /modules/noevents/templates/mfa_theme.php和tpls[。如果规则匹配，将会阻断并设置相关参数","Detect if the request method is GET and if the /modules/noevents/templates/mfa_theme.php and tpls[  are in the request line. If the rule is matched, block the request and set related parameter."
2003693harm_desc," PHPtree的plugin/HP_DEV/cms2.php中存在PHP远程文件包含漏洞。远程攻击者可以借助s_dir参数中的一个URL，执行任意的PHP代码","PHP remote file inclusion vulnerability exists in PHPtree's plugin / HP_DEV / cms2.php. Remote attackers can execute arbitrary PHP code with the help of a URL in the s_dir parameter"
2003693suggest,"建议在web服务器把访问/plugin/HP_DEV/cms2.php且存在config[pathMod]参数的请求给过滤了
","Proposed in the web server to visit /plugin/HP_DEV/cms2.php and the existence of config [pathMod] parameters to the request"
2003696name," Wikivi5 存在参数与远程文件捆绑尝试 -- show.php sous_rep","Wikivi5 Remote Inclusion Attempt -- show.php sous_rep"
2003696desc,"检测请求行中是否包含 GET和   /handlers/page/show.php。是否存在带有远程文件包含的参数sous_rep。如果规则匹配，将会阻断并设置相关参数","Detect if the request line contains GET and /handlers/page/show.php and check if there is a parameter 'sous_rep' with remote file inclusion. If the rule is matched, block the request and set related parameter."
