id,中文,en-US
922,"ip区间不合法,例:192.168.1.1-192.168.255.254","IP range is illegal, for example:192.168.1.1-192.168.255.254"
924,"当前账号错误登录次数 %s,锁定剩余%s秒","Current account has failed to log in for %s, and %s later, it will be locked"
925,正常访问,"Normal access"
926,来自爬虫,"From crawler"
927,来自威胁,"From threat"
928,浏览数,"Page views"
929,访问人数,Visitors
930,页面数,"Number of ages"
931,文件数,"Number of files"
932,访问来源,"Access source"
933,实时流量,"Real-time traffic"
934,系统资源占用,"Occupation of system resources"
935,选择时间,"Select time"
936,实时监控,"Real-time monitoring"
937,历史数据查询,"Search historical data"
938,连接数,"Number of connections"
939,处理数,"Number of processing"
940,时间参数不正确,"Incorrect time parameter"
941,清空操作将对目前查询条件所列数据进行清空,"Clearing action will clear all the data under current searching condition"
942,清空后将不能恢复,"Data cannot be restored after being cleared"
943,不能没有清空条件,"Clearing condition must be contained"
944,异常文件上传日志,"Anomalous file uploading log"
945,任务名称,"Task name"
946,已有任务正在进行中,"There is task ongoing"
947,等待任务完成再添加新任务,"Waiting for task to be finished and then add new ones"
948,删除前先停止任务,"Stop task before deletion"
949,服务器数量,"Server number"
950,WEB服务器,"WEB server"
951,入库失败,"Storage failed"
952,写入失败,"Read-in failed"
953,IP地址、端口不能为空,"IP address and port must be filled"
954,添加服务器,"Add server"
955,输入名称,"Input name"
956,输入,Input
957,权限不足,"You have no such privilege"
958,请求失败,"Request failed"
959,确认要删除吗,"Do you confirm to delete it?"
960,必须输入大于0的整数,"You must input integer greater than 0"
961,请选择升级文件,"Please select file to be upgraded"
962,只能输入整数,"You can only input integer"
963,不能输入大于%s的整数,"You cannot input integer greater than %s"
964,不能输入小于%s的整数,"You cannot input integer less than %s"
965,只能输入%s~%s间的整数,"You can only input integer from %s to %s"
966,"只能输入数字,可为正负整数或正负浮点数","You can only input digit which can be positive/negative integer or positive/negative floating point"
967,不能输入大于%s的数字,"You cannot input digit greater than %s"
968,不能输入小于%s的数字,"You cannot input digit less than %s"
969,只能输入%s~%s间的数字,"You can only input digit from %s to %s"
970,"只能输入数字,可为正负整数或正负浮点数(双精度浮点型)","You can only input digit which can be positive/negative integer or positive/negative floating point(double float)"
971,email格式错误,"Email format error"
972,此项必填,"This item must be filled"
973,只能输入字符型数据,"You can only input data of character type"
974,输入字符数不能大于%s,"The number of characters you input cannot be greater than %s"
975,输入字符数不能小于%s,"The number of characters you input cannot be less than %s"
976,限制输入字符数为%s~%s,"It is limited to input number of characters from %s to %s"
977,此项必须唯一,"This item must be the only one"
978,URL地址错误,"URL address error"
979,CC攻击,"CC attack"
982,通用攻击,"Common attack"
983,信息泄漏,"Information leakage"
984,其他攻击,"Other attacks"
985,溢出攻击,"Overflow attack"
986,HTTP保护,"HTTP protection"
987,SQL注入,"SQL injection"
988,木马病毒,"Trojan virus"
990,跨站脚本,XSS
993,系统工具,"System tool"
994,WEB控制配置,"WEB control config"
995,SNMP,SNMP
996,网络测试,"Network test"
997,系统时间,"System time"
998,抓包工具,"Packet capturing tool"
999,组播路由转发,"Multicast route forwarding"
1000,网中网检测,"Subnet detection"
1025,"Modsec Status","Modsec Status"
1026,"Modsec Requestbody Access Switch","Modsec Requestbody Access Switch"
1028,蓝盾WEB应用防护系统,"Bluedon WAF"
1029,模式,Pattern
1030,默认动作,"Default action"
1031,继续处理,"Continue to process"
1032,WAF规则翻译,"WAF rule translation"
1033,WAF规则翻译导出,"WAF rule translation export"
1034,WAF规则翻译导入,"WAF rule translation import"
1035,创建语言库文件,"Create language library file"
1036,WAF引擎,"WAF engine"
1039,网络流量,"Network traffic"
1040,"TCP 包触发阀值","TCP packet triggering threshold"
1041,"TCP 包阀值/单IP","TCP packet threshold/single IP"
1042,"ACK Flood 数据包/秒","ACK Flood data packet/s"
1043,"ACK Flood 包阀值/单IP","ACK Flood packet threshold/single IP"
1044,"UDP 数据包/秒","UDP data packet/s"
1045,"UDP 包阀值/单IP","UDP packet threshold/single IP"
1046,"ICMP 数据包/秒","ICMP data packet/s"
1047,"ICMP 包阀值/单IP","ICMP packet threshold/single IP"
1048,"UDP 禁止","UDP disabled"
1049,"ICMP 禁止","ICMP disabled"
1050,HTTP请求内容名称,"HTTP request content name"
1051,HTTP请求内容状态,"HTTP request content state"
1052,HTTP请求动作名称,"HTTP request action name"
1053,启用选择,"Enable selection"
1054,HTTP协议版本名称,"HTTP protocol version name"
1055,HTTP协议版本状态,"HTTP protocol version state"
1057,Now,Now
1058,"Max Value","Max Value"
1059,Cycle,Cycle
1060,"Phone Cycle","Phone Cycle"
1061,设置名称,"Set name"
1062,设置值,"Set value"
1063,HTTP头字段名称,"HTTP header field name"
1064,HTTP头字段状态,"HTTP header field state"
1065,文件扩展状态,"File extension state"
1066,"Is Ssl","Is Ssl"
1067,"Ssl Path","Ssl Path"
1068,爬虫防护爬虫类型,"Crawler type prevention"
1069,防盗链文件类型,"Anti hotlink file type"
1072,"Is Selfstudy","Is Selfstudy"
1078,开启自动清理,"Enable automatic clearing"
1081,"URI 参数最大长度","Max length of URI parameter"
1082,"URI 最大参数个数","Max number of URI parameter"
1083,"COOKIE 最大长度","COOKIE max length"
1084,"COOKIE 参数名称最大长度","Max length of COOKIE parameter name"
1085,"COOKIE 内容最大长度","Max length of COOKIE content"
1086,"COOKIE 最大个数","Max number of COOKIE"
1087,"Is Ip Black","Is Ip Black"
1088,"Is Domain Black","Is Domain Black"
1089,确认密码,"Confirm password"
1090,源IP,"Source IP"
1091,目标IP,"Target IP"
1092,站点名称,"Site name"
1093,站点IP,"Site IP"
1094,站点端口,"Site port"
1095,站点组ID,"Site group ID"
1096,策略模板ID,"Policy template ID"
1097,自身策略模板ID,"Self policy template ID"
1098,24小时每小时最大流量模型,"Max traffic module per hour in 24 hours"
1099,24小时每小时单ip最大访问数,"Max visit of single IP per hour in 24 hours"
1100,24小时建模开始日期,"Start time of 24-hour modeling"
1101,建模的时间周期,"Time cycle of modeling"
1102,建模结束时间,"Time to end modeling"
1103,建模状态,"Modeling state"
1104,学习时间,"Time to learn"
1105,学习开始时间,"Time to start learning"
1106,学习结束时间,"Time to stop learning"
1107,动态建模备注,"Note for dynamic modeling"
1108,是否是反向代理,"Whether it is reverse proxy"
1109,DDOS攻击防护类型,"DDOS attack prevention type"
1110,负载均衡方式,"Load balance way"
1111,开启缓存,"Enable cache"
1112,启用健康检查,"Enbale health check"
1113,证书公钥,"Certificate public key"
1114,证书密钥,"Certificate secret key"
1115,反向代理说明,"Instruction of reverse proxy"
1116,IP地址,"IP address"
1117,创建时间,"Creation time"
1118,站点ID,"Site ID"
1119,权重,Weight
1120,Uri,Uri
1122,是否用于管理,"Whether it is used for management"
1123,是否允许ping,"Whether to allow ping"
1124,是否允许traceroute,"Whether to allow traceroute"
1125,是启用日志,"Whether to enable log"
1126,是否SSH,"Whether to SSH"
1127,是否WEBUI,"Whether to WEBUI"
1128,密码与确认密码不一致,"Password and confirmed password are inconsistent"
1129,密码必须包含字母和数字,"Password must contain letter and digit"
1130,成功,Succeed
1131,百分百,100%
1132,允许,Allow
1133,停用,Disable
1134,否,No
1135,月份,"Month of the year"
1136,天,Day
1137,未定义,Undefined
1138,序号,"Sequence number"
1139,次数,Times
1140,来源IP,"Source IP"
1141,比例,Proportion
1142,网址,Website
1143,关键字,"Key word"
1144,浏览器,Browser
1145,浏览,Browse
1146,自动,Automatic
1147,引擎参数错误,"Engine parameter error"
1148,拦截方式参数错误,"Blocking way parameter error"
1149,URL地址未填写,"URL address has not been input"
1150,选择任意URL，必须指定来源IP,"Select arbitrary URL and source IP must be specified"
1151,请填写来源IP,"Please fill in source IP"
1152,请填写目标IP,"Please fill in target IP"
1153,任意URL与指定URL选项错误,"Option error between arbitrary URL and specified URL"
1154,是否启用参数错误,"Whether to enable parameter error"
1155,选择某一行数据？,"Select data of one row?"
1156,选择启用的数据,"Select enabled data"
1157,是否启用数据,"Whether to enable data"
1158,选择停用的数据,"Select disabled data"
1159,是否停用数据,"Whether to diasble data"
1160,选择删除的数据,"Select deleted data"
1161,是否删除数据,"Whether to delete data"
1162,规则基本信息,"Basic infomration of rule"
1163,任意URL,"Arbitrary URL"
1164,指定URL,"Specified URL"
1165,例,Eg
1166,或,Or
1167,来源配置,"Source config"
1168,任意IP,"Arbitrary IP"
1169,指定IP,"Specified IP"
1170,单IP,"Single IP"
1171,IP段,"IP section"
1172,目标配置,"Target config"
1173,写入配置文件失败,"Writing in config file failed"
1174,开启BYPASS后，每对WAN/LAN接口在物理上直接连通，流量不经过设备，一般用于网络故障排除。,"After opening BYPASS, each pair of WAN/LAN interface will be connected physically, traffic will not pass through device and it is usually used to eliminate network breakdown"
1175,关闭BYPASS后，流量经过设备，恢复到正常状态。,"After closing BYPASS, traffic will pass through device and restore to normal state"
1176,请选择,"Please select"
1177,HTTP类型,"HTTP type"
1178,规则模块,"Rule module"
1179,优先级范围为%s,"Priority scope is %s"
1180,防溢出配置,"Anti overflow config"
1181,其它模式,"Other patterns"
1182,透明桥模式,"Transparent bridge pattern"
1183,反向代理模式,"Reverse proxy pattern"
1184,没有选择需要加入防误报的数据,"You haven't selected data that needs to add anti false positive"
1185,"操作成功, 共成功处理符合防误报条件的%d条日志, 失败的%d条","Action successfully, and %d logs that match conditions of false positive in total have been processed successfully and %d logs failed"
1186,选择加入防误报的数据,"Select add data of anti false positive"
1187,是否加入防误报,"Whether to add anti false positive"
1188,停用对应规则数据为空,"Disabled corresponding rule data isn't filled"
1189,是否停用对应规则,"Whether to diasble corresponding rule"
1190,报警配置,"Alert config"
1191,SMTP服务器地址无效,"SMTP server address is invalid"
1192,发件人名称非登录帐号,"Sender's name is not login account"
1193,启用停用的参数错误,"Enable the disabled parameter error"
1194,开启状态,"Open state"
1195,"url与url之间用""|""隔开","Use ""|""to separate URL"
1196,"扩展名与扩展名之间用""|""隔开","Use ""|""to separate extension name"
1197,拦截扩展名,"Block extension name"
1198,拦截词,"Blocking word"
1199,黑白名单,"Blacklist and white list"
1200,轮询,"Round Robin"
1201,IP哈希,"IP hash"
1202,非法外联配置,"Illegal external connection config"
1203,超出指定范围的将被禁止,"What is beyond specified scope will be prohibited"
1204,"访问云防线官方网站 http//www.cloudfence.cn --> 注册帐号-->填写正确的邮箱地址、密码等-->查收邮箱点击验证邮件完成注册。","Visit official website of CloudFence http//www.cloudfence.cn -->Register an account-->Write down correct email address and password-->Check email to find the verification mail and click it to complete registration"
1205,登录-->加入向导-->填写域名-->扫描出您添加域名的A记录-->点确定、回到服务返回用户界面-->等待管理员审核您添加的域名是否备案,"Log in-->Add guide-->Write down domain name-->Scan record A of the domain name you add-->Click confirm and return to user interface-->Wait for administrator to verify whether the domain name you add is put on record"
1206,审核通过-->查收邮件获取CNAME记录-->登录域名注册商后台更改CNAME-->等待更改生效。,"Verification passed-->Check email to acquire CNAME record-->Log in backstage of domain name registrar to change your CNAME-->Wait for your change to take effect"
1207,"审核不通过-->前往""工业和信息化部ICP/IP地址/域名信息备案管理系统""http//www.miitbeian.gov.cn申请备案。","Verification not passed-->Go to Ministry of Industry and Information ICP/IP address/Domain name information record management system ""http//www.miitbeian.gov.cn to apply for records"
1208,主机头名,"Host header name"
1209,主机头名不能为空,"Host header name must be filled"
1210,负载均衡方式不正确,"Load balance way is incorrect"
1211,是否开启缓存,"Whether to open cache"
1212,是否启用健康检测,"Whether to enable health examination"
1213,本地监听端口,"Local monitoring port"
1214,本地监控端口错误,"Local monitoring port error"
1215,协议错误,"Protocol error"
1216,"主机头名已存在,请先在站点组管理删除","Host header name already exists, and please delete it at site group management"
1217,代理IP及端口,"Proxy IP and port"
1218,代理IP及端口不能为空,"Proxy IP and port must be filled"
1219,代理IP错误,"Proxy IP error"
1220,代理端口错误,"Proxy port error"
1221,代理权重错误,"Proxy weight error"
1222,清除旧的代理IP及端口失败,"Clearing old proxy IP and port failed"
1223,设备名称,"Device name"
1224,IP地址/掩码,"IP address/mask"
1225,绑定接口列表,"Binding interface list"
1226,请填写IP地址或者请勿勾选WEBUI、SSH、允许PING、允许Traceroute,"Please write down IP address or don't select WEBUI, SSH, ALLOW PING, ALLOW Traceroute"
1227,所选网口数必须为两个以上(含两个),"The number of ports you select must exceed 2 (include 2)"
1229,IPV4格式错误,"IPV4 format error"
1230,掩码格式错误,"Mask format error"
1231,请输入正确的IP地址,"Please input correct IP address"
1232,IPV6格式错误,"IPV6 format error"
1233,权重值范围1-10，值越大，权重越大,"Weight value scope is 1 to 10, the bigger the value, the greater the weight"
1234,IP地址、端口、权重不能为空,"IP address, port and weight must be filled"
1235,桥接口名称,"Bridge interface name"
1236,可选绑定设备列表,"Optional binding device list"
1237,多个IP请分行填写,"Please write down several IP in separate lines"
1238,继承模板ID,"Inherit template ID"
1239,"数值越小,优先级越大","The smaller the value, the higher the priority"
1240,HTTP请求类型,"HTTP request type"
1241,特征生成,"Feature generation"
1242,匹配算法,"Matching algorithm"
1243,字符串匹配,"Charatcer string matching"
1244,正则表达式匹配,"Regular expression matching"
1245,特征关键字,"Feature key words"
1246,温馨提示,"Kind tips"
1247,"请确保您所填写的内容正确,否则该规则可能无法执行","Please ensure that what you input is correct, otherwise, the rule might not be executed"
1248,以上,Above
1249,谷歌爬虫,"Google crawler"
1250,百度爬虫,"Baidu crawler"
1251,雅虎爬虫,"Yahoo crawler"
1252,新浪爬虫,"Sina crawler"
1253,网易爬虫,"Netease crawler"
1254,MSN爬虫,"MSN crawler"
1255,必应爬虫,"Bing crawler"
1256,SOSO爬虫,"SOSO crawler"
1257,360爬虫,"360 crawler"
1258,即刻爬虫,"Jike crawler"
1259,东方网景,East.net
1260,热土爬虫,"Hot crawler"
1261,华为赛门铁克,"Huawei Symantec"
1262,英国爬虫,"British crawler"
1263,俄罗斯爬虫,"Russian crawler"
1264,韩国爬虫,"South Korean crawler"
1265,日本爬虫,"Japanese crawler"
1266,其它爬虫,"Other crawler"
1267,"用户名或者密码错误,剩余 %s 次登录机会","Username or password is wrong, and you have %s of login left"
1268,完成时间,"Completion time"
1269,所属站点组,"Affiliated site group"
1270,修改服务器,"Modify server"
1271,规则模板ID,"Rule template ID"
1272,"所选站点中,有反向代理站点,不能删除","Among selected site, there is reverse proxy site, which cannot be deleted"
1273,删除数据失败,"Deleting data failed"
1274,提交的数据不能空,"Submitted data cannot be empty"
1275,IP地址及端口,"IP address and port"
1276,选择年月,"Select year and month"
1277,选择年月日,"Select year, month and day"
1278,输出格式,"Export format"
1279,报表已生成，请点击相关链接进行下载,"Report is generated and please click relevant link to download"
1280,时间(时),Time(hour)
1281,事件次数,"Event times"
1282,URL/IP地址,"URL/IP address"
1283,无效参数,"Invalid parameter"
1284,报告已生成,"Report is generated"
1285,蓝盾WEB应用防护系统攻击报表,"Bluedon WAF attack report"
1286,蓝盾WEB应用防护系统访问报表,"Bluedon WAF access report"
1287,统计时间段,"Statistical time period"
1288,报表生成时间,"Generated time of report"
1289,管理接口地址,"Manage interface address"
1290,报表内容:入侵记录统计,"Report content:Intrusion record statistics"
1291,入侵数量统计图--总数,"Statistical graph of intrusion quantity-- aggregate"
1292,入侵趋势图,"Intrusion trend graph"
1293,入侵趋势图(24小时时间段),"Intrusion trend graph(24 hours)"
1294,入侵类别统计图,"Statistical graph of intrusion type"
1295,入侵类别对比图,"Comparison graph of intrusion type"
1296,入侵数量统计,"Statistics of intrusion quantity"
1297,入侵趋势,"Intrusion trend"
1298,入侵类别统计,"Statistics of intrusion type"
1299,入侵类别对比,"Comparison of intrusion type"
1300,入侵类来源地址统计,"Statistics of intrusion source address"
1301,攻击事件的入侵类来源统计,"Statistics of intrusion source of attack event"
1302,入侵类来源的攻击事件统计,"Statistics of attack event of intrusion source type"
1303,攻击类型按被攻击主机统计,"Statistics of attack type based on attacked host"
1304,被攻击主机的攻击类型统计,"Statistics of attack type of attacked host"
1305,攻击类型按被攻击URL的统计,"Statistics of attack type based on attacked URL"
1306,被攻击URL的攻击类型统计,"Statistics of attack type of attacked URL"
1307,被攻击主机统计,"Statistics of attacked host"
1308,被攻击URL统计,"Statistics of attacked URL"
1309,被攻击URL统计(含参数),"Statistics of attacked URL(contain parameter)"
1310,"生成即时报表(查看HTML报表时建议使用的浏览器: IE10或以上/火狐/谷)","Generate real-time report(In checking HTML report, it is suggested to use such browser as IE10 or higher version/Firefox/Chrome)"
1311,报表日期,"Report date"
1312,下载报表,"Download report"
1313,预览报表,"Preview report"
1314,生成报表,"Generate report"
1315,报表生成中，请稍后...,"It is generating report, please wait…"
1316,HTML格式,"HTML format"
1317,PDF格式,"PDF format"
1318,DOC格式,"DOC format"
1319,请输入正整数,"Please input positive integer"
1320,请按需求填写,"Please fill in as required"
1321,请选择查询日期,"Please select searching date"
1322,防护网站,"Protection website"
1323,安全统计分析,"Analysis of security statistics"
1324,用户在您网站停留的时间,"Time duration that user stay on your website"
1325,爬虫分析,"Crawler analysis"
1326,爬虫,Crawler
1327,网站流量(按天),"Website traffic(by day)"
1328,网络接口,"Network interface"
1329,接收数据包,"Receive data packet"
1330,发送数据包,"Send data packet"
1331,接收字节,"Receive byte"
1332,发送字节,"Send byte"
1333,接收的错误包,"Received wrong packet"
1334,发送的错误包,"Sent wrong packet"
1335,接收丢失,"Receive lost"
1336,发送丢失,"Send lost"
1337,网站入口页面访问次数,"Visit times of webiste entry page"
1338,网站出口页面访问次数,"Visit times of webiste exit page"
1339,被访页面,"Accessed page"
1340,页面访问排名,"Rank of accessed page"
1341,错误码排名,"Error code ranking"
1342,错误码,"Error code"
1343,搜索引擎,"Search engine"
1344,搜索关键字,"Search key words"
1345,从搜索引擎进入我的网站,"Access to my website from search engine"
1346,从别的网站进入我的网站,"Access to my website from other websites"
1347,用户都用什么样的操作系统？,"What OS is user using?"
1348,用户都用什么样的浏览器？,"What browser is user using?"
1349,用户停留时间,"Stay time of user"
1350,总PV,"Total PV"
1351,访问次数,"Visit times"
1352,流量数,"Number of traffic"
1353,半双工,Half-duplex
1354,全双工,"Full duplex"
1355,已连接,Connected
1356,未连接,"Not connected"
1357,输入ID,"Input ID"
1358,规则说明,"Rule instruction"
1359,添加成功,"Add successfully"
1360,上传失败,"Uploading failed"
1364,中危,"Mideum risk"
1365,低危,"Low risk"
1366,高危,"High risk"
1367,启用状态,"Enabled state"
1368,HTTP数据类型,"HTTP data type"
1369,提示类型,"Tip type"
1370,自定义文件,"User-defined file"
1371,生效状态,"State of taking effect"
1374,策略内容,"Policy content"
1375,站点组启用状态,"Enabled state of site group"
1376,攻击类别,"Attack type"
1377,危害级别,Severity
1378,扫描状态,"Scanning state"
1379,扫描结果,"Scanning result"
1380,敏感词过滤开启状态,"Enabling state of sensitive word filtering"
1381,智能阻断状态,"State of interlligent blocking"
1382,Bypass启用状态,"Enbaled state of Bypass"
1383,监控目标URL,"Monitor target URL"
1384,Protype,Protype
1385,Freq,Freq
1386,系统默认语言,"System's default language"
1387,防火墙角色,"Firewall role"
1388,AuditLogUniqueID,AuditLogUniqueID
1389,UserAgent,UserAgent
1390,HTTP请求方式,"HTTP request way"
1391,请求类型,"Request type"
1392,响应类型,"Response type"
1393,请求状态码,"Request status code"
1394,GeneralMsg,GeneralMsg
1395,规则文件,"Rule file"
1396,总数,Aggregate
1397,默认值,"Default value"
1398,范围,Scope
1399,模式来源,"Pattern source"
1400,规则模板库找不到模板,"Template cannot be found in rule template library"
1401,不能删除正在使用的模板,"The template that is being used cannot be deleted"
1402,操作失败,"Action failed"
1403,重启关机,"Shutdown and restart"
1404,Symbol,Symbol
1405,"Field Desc","Field Desc"
1406,Json,Json
1407,版本类型,Version
1408,联系电话,Contact
1409,阻断,Block
1410,防护的url,"Protected URL"
1411,最大文件大小,"Max file size"
1412,阻断持续时间,"Block extension time"
1413,DestinationIP,DestinationIP
1416,RequestContentType,RequestContentType
1417,ResponseContentType,ResponseContentType
1418,HttpStatusCode,HttpStatusCode
1420,是否病毒,"Whether it is virus"
1421,检查结果,"Result of check"
1422,Number,Number
1423,用户名只能包含数字加字母组合,"The username must only contain digits and letters"
1424,"重新扫描将会清除原来的任务数据,确定要继续么","Rescan will clear the original task data. Are you sure to continue?"
1425,欢迎您,Welcome
1426,检测登录状态,"Check the login status"
1427,syslog服务器,"syslog server"
1428,邮件测试,"Email testing"
1429,日志入库归档,"Logs archive"
1430,初始化,Initialize
1431,waf账号同步,"WAF account sync"
1432,启用网关邮件功能,"Enable gateway Email"
1434,配置项名称,"Configuration item name"
1435,配置项值,"Configuration item value"
1436,接口命令,"Interface command"
1437,导入,Import
1438,启用手机报警功能,"Enable phone alert"
1439,登录超时,"Login timeout"
1440,系统主页,"System homepage"
1441,超级管理员,"Super admin"
1442,系统管理员,"System admin"
1443,安全管理员,"Security admin"
1444,安全审计员,"Security auditor"
1445,通知,Notification
1446,信息,Information
1447,调试,Debug
1448,DDOS日志,"DDOS log"
1449,CC日志,"CC log"
1450,智能上传文件日志,"Intelligent file log upload"
1451,同级账号管理,"Account management"
1452,更新状态,"Update status"
1453,规则复制,"Rule copy"
1454,预设规则模板,"Preset rule template"
1455,自定义规则模板,"Customized rule template"
1456,IP过滤设置,"IP filtering config"
1457,智能木马检测,"Intelligent malware detection"
1458,"禁止请求的文件扩展名设置 (启用后,请求的文件扩展名类型将被禁止)","Disable requested file suffix （Requested types of file suffix will be disabled after enabling this function. ）"
1463,策略名,"Policy name"
1464,目标Url,"Target URL"
1466,单用户登录客户端数限制,"Single user login limits"
1467,"User Agent","User Agent"
1469,"Http Protocol","Http Protocol"
1470,"Rule ID","Rule ID"
1471,下载路径,"Download location"
1472,上传文件ID,"Uploaded file ID"
1473,检测结果,"Detection result"
1474,复制,Copy
1475,是否启用规则,"Enable rule"
1476,是否停用规则,"Disable rule"
1480,"清空操作将对目前所有数据进行清空,清空后将不能恢复,确认","It will clear all the data which can not be restored. Continue?"
1481,"未分类站点,不能删除","Unclassified site can not be deleted"
1482,主机头名必须是IPV4地址或者是合法的域名,"Hostname should be IPV4 or valid domain name"
1483,"允许IP,IP段,IP+掩码等方式,其中IP段格式为: ip-ip ,如(192.168.1.1-192.168.4.254),IP+掩码方式为: ip/掩码 ,如(192.168.1.0/24)","The format of IP, IP segment, or IP+mask are allowed. The format of IP segment is: ip-ip, e.g. 192.168.1.1-192.168.4.254; the format of IP + Mask is: IP/Mask, e.g.192.168.1.0/24"
1484,预设模板,"Preset template"
1485,当前启用,Enable
1486,"提示:预设规则模板,只能被启用其中一个. 当选择""严格""模板,有可能出现多报的情况,当选择""宽松""模板,有可能漏报情况.","Notes: Only one of the preset rule templates can be enabled. Selecting ""Strict"" template may cause redundant report, while selecting ""Tolerant"" template may cause false negative."
1487,没有选择需要重置的模板,"No template is selected for reset"
1488,请选择需要重置的规则模板,"Please select rule template which needs to be reset"
1489,确认需要重置选择的规则模板吗,"Confirm to reset the selected template?"
1490,"当选择模板类型为站点组模板,此选项不生效","This item does not take effect when the template of site group is selected."
1491,上行,Uplink
1492,下行,Downlink
1493,内存,Memory
1494,磁盘,Disk
1495,当前预设规则模板名称,"Current preset rule template name"
1496,不允许上传,"Upload is not allowed"
1497,关键字告警,"Keyword alert"
1498,不支持选择超过两个设备,"Can not select more than two devices"
1499,"共 {total} 条记录, 每页显示 {pagesize} 条","Total {total},  Display {pagesize} per page"
1500,不能上传大于%sM的文件,"Files can not be larger than %sM"
1501,根据条件清空数据,"Clear data as required"
1502,重置模板,"Reset template"
1503,公共接口,"Common interface"
1504,获取网口信息,"Acquire port information"
1506,站点管理,"Site management"
1507,站点服务,"Site service"
1508,测试,Test
1509,系统配置列表,"System config list"
1510,更新黑白名单,"Update black and white lists"
1511,版本号,Version
1512,项目版本号,"Project version"
1513,上一版本号,"Previous version"
1514,端口/协议,Port/protocol
1515,站点分组,"Site grouping"
1516,上传文件名,"Upload filename"
1517,上传类型,"Upload type"
1518,上传用户,"Upload user"
1519,升级说明,"Upgrade description"
1520,升级结果,"Upgraded results"
1521,"蓝盾信息安全技术股份有限公司 版权所有 Copyright&copy;1998-%s Bluedon. All Rights Reserved","Bluedon Information Security Technologies Co., Ltd All rights reserved"
1522,根据搜索条件清空数据,"Clear data according to search terms"
1523,清空搜索条件,"Clear search terms"
1524,无,None
1525,中,Middle
1526,此处留空表示支持任意,"This empty field can be filled freely"
1527,文件扩展名列表管理,"Filename extension list management"
1528,机器学习引擎,"Machine learning engine"
1529,智能木马配置,"Intelligent Trojan config"
1530,"使用""|""隔开","Separate by ""|"""
1531,拦截的文件后缀名,"Intercepted file suffix"
1532,最大文件分析,"Max file analysis"
1533,"IP防护功能,只适合于部署为""透明桥接""模式才有效","IP protection only functions in transparent bridge pattern"
1534,"不使用IP防护功能,则对所有请求都防护; 使用IP防护功能,即仅防护源IP或目标IP符合设置的请求","All requests will be protected when IP protection is disabled; Only requests of source IP or target IP that comply with setup will be protected when IP protection is enabled"
1535,防护IP/IP段,"Protected IP/IP segment"
1536,"防护IP/IP段之间用""|""隔开, 例: 192.168.2.1或者192.168.2.1-192.168.2.254","Separate protected IP/IP segment by ""|"", such as: 192.168.2.1 or 192.168.2.1-192.168.2.254"
1537,访问/流量报表不支持生成每周报表,"Access/traffic reports cannot be generated weekly"
1538,"允许IP,IP段,IP+掩码等方式,其中IP段格式为: ip-ip ,如(192.168.1.1-254),IP+掩码方式为: ip/掩码 ,如(192.168.1.0/24)","Such formats as IP, IP segment and IP+ mask are allowed. The format of ip segment is ip-ip, like (192.168.1.1-254) and IP + mask is ip/mask, like (192.168.1.0/24)"
1539,接入控制配置开关,"Access control switch"
1540,点击启用按钮后需要选择黑/白名单模式才生效,"It will only take effect by selecting black/white lists after clicking enable"
1541,操作者,Operator
1542,升级中,Upgrading
1543,升级失败,"Failed to upgrade"
1544,升级文件包错误,"Upgraded file packet error"
1545,版本号错误,"Version number error"
1546,版本已升级过,"Version has been upgraded"
1547,当前版本信息错误,"Current version information error"
1548,升级版本错误,"Upgraded version error"
1549,规则版本升级,"Rule version upgrade"
1550,处理方式,"Process way"
1551,后缀,Suffix
1552,病毒,Virus
1553,引擎,Engine
1554,绑定桥必须是一个外网口与一个内网口,"Bridge must be bound with an external port and an internal port"
1555,站点扫描,"Site scan"
1556,修改密码,"Change password"
1557,安全配置,"Security configuration"
1558,应用安全,"Application security"
1559,WAF引擎设置,"WAF engine setting"
1560,wafEngine,wafEngine
1561,defaultInterceptModeSetting,defaultInterceptModeSetting
1562,interceptionMode,interceptionMode
1563,"检测端口设置:指定要检测的端口,如有多个请用|隔开,不能以0开头.如:80|8080","Detect port setting: Designate the port to detect, if there are several, please use | to separate and the first digit can't be 0. For example: 80|8080"
1564,checkPort,checkPort
1565,deploymentMode,deploymentMode
1566,sourceIpDefendCc,sourceIpDefendCc
1567,givenUriDefendCc,givenUriDefendCc
1568,dDosDefendConfig,dDosDefendConfig
1569,engine,engine
1570,fileSuffixName,fileSuffixName
1571,maximumFileAnalysis,maximumFileAnalysis
1572,updateTime,updateTime
1573,ipFilterFitTips,ipFilterFitTips
1574,ipFilterOrInterval,ipFilterOrInterval
1575,alertConfig,alertConfig
1576,mailAlert,mailAlert
1577,smsAlert,smsAlert
1578,sendInterval,sendInterval
1579,notificationConfig,notificationConfig
1580,enableGatewayEmailFunction,enableGatewayEmailFunction
1581,enablePhoneAlertFunction,enablePhoneAlertFunction
1582,addressorEmail,addressorEmail
1583,addressor,addressor
1584,addressorPwd,addressorPwd
1585,smtpServerAddr,smtpServerAddr
1586,smtpServerPort,smtpServerPort
1587,addresseeEmail,addresseeEmail
1588,addresseePhone,addresseePhone
1589,openState,openState
1590,interceptExtensionName,interceptExtensionName
1591,extensionName,extensionName
1592,必须包含英文字母,"Must contain English letters"
1593,必须包含数字,"Must contain digit"
1594,必须包含特殊字符,"Must contain special characters"
