id,中文,zh-CN
999,组播路由转发,组播路由转发
1000,网中网检测,网中网检测
1025,"Modsec Status","Modsec Status"
1026,"Modsec Requestbody Access Switch","Modsec Requestbody Access Switch"
1028,蓝盾WEB应用防护系统,蓝盾WEB应用防护系统
1029,模式,模式
1030,默认动作,默认动作
1031,继续处理,继续处理
1032,WAF规则翻译,WAF规则翻译
1033,WAF规则翻译导出,WAF规则翻译导出
1034,WAF规则翻译导入,WAF规则翻译导入
1035,创建语言库文件,创建语言库文件
1036,WAF引擎,WAF引擎
1039,网络流量,网络流量
1040,"TCP 包触发阀值","TCP 包触发阀值"
1041,"TCP 包阀值/单IP","TCP 包阀值/单IP"
1042,"ACK Flood 数据包/秒","ACK Flood 数据包/秒"
1043,"ACK Flood 包阀值/单IP","ACK Flood 包阀值/单IP"
1044,"UDP 数据包/秒","UDP 数据包/秒"
1045,"UDP 包阀值/单IP","UDP 包阀值/单IP"
1046,"ICMP 数据包/秒","ICMP 数据包/秒"
1047,"ICMP 包阀值/单IP","ICMP 包阀值/单IP"
1048,"UDP 禁止","UDP 禁止"
1049,"ICMP 禁止","ICMP 禁止"
1050,HTTP请求内容名称,HTTP请求内容名称
1051,HTTP请求内容状态,HTTP请求内容状态
1052,HTTP请求动作名称,HTTP请求动作名称
1053,启用选择,启用选择
1054,HTTP协议版本名称,HTTP协议版本名称
1055,HTTP协议版本状态,HTTP协议版本状态
1057,Now,Now
1058,"Max Value","Max Value"
1059,Cycle,Cycle
1060,"Phone Cycle","Phone Cycle"
1061,设置名称,设置名称
1062,设置值,设置值
1063,HTTP头字段名称,HTTP头字段名称
1064,HTTP头字段状态,HTTP头字段状态
1065,文件扩展状态,文件扩展状态
1066,"Is Ssl","Is Ssl"
1067,"Ssl Path","Ssl Path"
1068,爬虫防护爬虫类型,爬虫防护爬虫类型
1069,防盗链文件类型,防盗链文件类型
1072,"Is Selfstudy","Is Selfstudy"
1078,开启自动清理,开启自动清理
1081,"URI 参数最大长度","URI 参数最大长度"
1082,"URI 最大参数个数","URI 最大参数个数"
1083,"COOKIE 最大长度","COOKIE 最大长度"
1084,"COOKIE 参数名称最大长度","COOKIE 参数名称最大长度"
1085,"COOKIE 内容最大长度","COOKIE 内容最大长度"
1086,"COOKIE 最大个数","COOKIE 最大个数"
1087,"Is Ip Black","Is Ip Black"
1088,"Is Domain Black","Is Domain Black"
1089,确认密码,确认密码
1090,源IP,源IP
1091,目标IP,目标IP
1092,站点名称,站点名称
1093,站点IP,站点IP
1094,站点端口,站点端口
1095,站点组ID,站点组ID
1096,策略模板ID,策略模板ID
1097,自身策略模板ID,自身策略模板ID
1098,24小时每小时最大流量模型,24小时每小时最大流量模型
1099,24小时每小时单ip最大访问数,24小时每小时单ip最大访问数
1100,24小时建模开始日期,24小时建模开始日期
1101,建模的时间周期,建模的时间周期
1102,建模结束时间,建模结束时间
1103,建模状态,建模状态
1104,学习时间,学习时间
1105,学习开始时间,学习开始时间
1106,学习结束时间,学习结束时间
1107,动态建模备注,动态建模备注
1108,是否是反向代理,是否是反向代理
1109,DDOS攻击防护类型,DDOS攻击防护类型
1110,负载均衡方式,负载均衡方式
1111,开启缓存,开启缓存
1112,启用健康检查,启用健康检查
1113,证书公钥,证书公钥
1114,证书密钥,证书密钥
1115,反向代理说明,反向代理说明
1116,IP地址,IP地址
1117,创建时间,创建时间
1118,站点ID,站点ID
1119,权重,权重
1120,Uri,Uri
1122,是否用于管理,是否用于管理
1123,是否允许ping,是否允许ping
1124,是否允许traceroute,是否允许traceroute
1125,是启用日志,是启用日志
1126,是否SSH,是否SSH
1127,是否WEBUI,是否WEBUI
1128,密码与确认密码不一致,密码与确认密码不一致
1129,密码必须包含字母和数字,密码必须包含字母和数字
1130,成功,成功
1131,百分百,百分百
1132,允许,允许
1133,停用,停用
1134,否,否
1135,月份,月份
1136,天,天
1137,未定义,未定义
1138,序号,序号
1139,次数,次数
1140,来源IP,来源IP
1141,比例,比例
1142,网址,网址
1143,关键字,关键字
1144,浏览器,浏览器
1145,浏览,浏览
1146,自动,自动
1147,引擎参数错误,引擎参数错误
1148,拦截方式参数错误,拦截方式参数错误
1149,URL地址未填写,URL地址未填写
1150,选择任意URL，必须指定来源IP,选择任意URL，必须指定来源IP
1151,请填写来源IP,请填写来源IP
1152,请填写目标IP,请填写目标IP
1153,任意URL与指定URL选项错误,任意URL与指定URL选项错误
1154,是否启用参数错误,是否启用参数错误
1155,选择某一行数据？,选择某一行数据？
1156,选择启用的数据,选择启用的数据
1157,是否启用数据,是否启用数据
1158,选择停用的数据,选择停用的数据
1159,是否停用数据,是否停用数据
1160,选择删除的数据,选择删除的数据
1161,是否删除数据,是否删除数据
1162,规则基本信息,规则基本信息
1163,任意URL,任意URL
1164,指定URL,指定URL
1165,例,例
1166,或,或
1167,来源配置,来源配置
1168,任意IP,任意IP
1169,指定IP,指定IP
1170,单IP,单IP
1171,IP段,IP段
1172,目标配置,目标配置
1173,写入配置文件失败,写入配置文件失败
1174,开启BYPASS后，每对WAN/LAN接口在物理上直接连通，流量不经过设备，一般用于网络故障排除。,开启BYPASS后，每对WAN/LAN接口在物理上直接连通，流量不经过设备，一般用于网络故障排除。
1175,关闭BYPASS后，流量经过设备，恢复到正常状态。,关闭BYPASS后，流量经过设备，恢复到正常状态。
1176,请选择,请选择
1177,HTTP类型,HTTP类型
1178,规则模块,规则模块
1179,优先级范围为%s,优先级范围为%s
1180,防溢出配置,防溢出配置
1181,其它模式,其它模式
1182,透明桥模式,透明桥模式
1183,反向代理模式,反向代理模式
1184,没有选择需要加入防误报的数据,没有选择需要加入防误报的数据
1185,"操作成功, 共成功处理符合防误报条件的%d条日志, 失败的%d条","操作成功, 共成功处理符合防误报条件的%d条日志, 失败的%d条"
1186,选择加入防误报的数据,选择加入防误报的数据
1187,是否加入防误报,是否加入防误报
1188,停用对应规则数据为空,停用对应规则数据为空
1189,是否停用对应规则,是否停用对应规则
1190,报警配置,报警配置
1191,SMTP服务器地址无效,SMTP服务器地址无效
1192,发件人名称非登录帐号,发件人名称非登录帐号
1193,启用停用的参数错误,启用停用的参数错误
1194,开启状态,开启状态
1195,"url与url之间用""|""隔开","url与url之间用""|""隔开"
1196,"扩展名与扩展名之间用""|""隔开","扩展名与扩展名之间用""|""隔开"
1197,拦截扩展名,拦截扩展名
1198,拦截词,拦截词
1199,黑白名单,黑白名单
1200,轮询,轮询
1201,IP哈希,IP哈希
1202,非法外联配置,非法外联配置
1203,超出指定范围的将被禁止,超出指定范围的将被禁止
1204,"访问云防线官方网站 http//www.cloudfence.cn --> 注册帐号-->填写正确的邮箱地址、密码等-->查收邮箱点击验证邮件完成注册。","访问云防线官方网站 http//www.cloudfence.cn --> 注册帐号-->填写正确的邮箱地址、密码等-->查收邮箱点击验证邮件完成注册。"
1205,登录-->加入向导-->填写域名-->扫描出您添加域名的A记录-->点确定、回到服务返回用户界面-->等待管理员审核您添加的域名是否备案,登录-->加入向导-->填写域名-->扫描出您添加域名的A记录-->点确定、回到服务返回用户界面-->等待管理员审核您添加的域名是否备案
1206,审核通过-->查收邮件获取CNAME记录-->登录域名注册商后台更改CNAME-->等待更改生效。,审核通过-->查收邮件获取CNAME记录-->登录域名注册商后台更改CNAME-->等待更改生效。
1207,"审核不通过-->前往""工业和信息化部ICP/IP地址/域名信息备案管理系统""http//www.miitbeian.gov.cn申请备案。","审核不通过-->前往""工业和信息化部ICP/IP地址/域名信息备案管理系统""http//www.miitbeian.gov.cn申请备案。"
1208,主机头名,主机头名
1209,主机头名不能为空,主机头名不能为空
1210,负载均衡方式不正确,负载均衡方式不正确
1211,是否开启缓存,是否开启缓存
1212,是否启用健康检测,是否启用健康检测
1213,本地监听端口,本地监听端口
1214,本地监控端口错误,本地监控端口错误
1215,协议错误,协议错误
1216,"主机头名已存在,请先在站点组管理删除","主机头名已存在,请先在站点组管理删除"
1217,代理IP及端口,代理IP及端口
1218,代理IP及端口不能为空,代理IP及端口不能为空
1219,代理IP错误,代理IP错误
1220,代理端口错误,代理端口错误
1221,代理权重错误,代理权重错误
1222,清除旧的代理IP及端口失败,清除旧的代理IP及端口失败
1223,设备名称,设备名称
1224,IP地址/掩码,IP地址/掩码
1225,绑定接口列表,绑定接口列表
1226,请填写IP地址或者请勿勾选WEBUI、SSH、允许PING、允许Traceroute,请填写IP地址或者请勿勾选WEBUI、SSH、允许PING、允许Traceroute
1227,所选网口数必须为两个以上(含两个),所选网口数必须为两个以上(含两个)
1229,IPV4格式错误,IPV4格式错误
1230,掩码格式错误,掩码格式错误
1231,请输入正确的IP地址,请输入正确的IP地址
1232,IPV6格式错误,IPV6格式错误
1233,权重值范围1-10，值越大，权重越大,权重值范围1-10，值越大，权重越大
1234,IP地址、端口、权重不能为空,IP地址、端口、权重不能为空
1235,桥接口名称,桥接口名称
1236,可选绑定设备列表,可选绑定设备列表
1237,多个IP请分行填写,多个IP请分行填写
1238,继承模板ID,继承模板ID
1239,"数值越小,优先级越大","数值越小,优先级越大"
1240,HTTP请求类型,HTTP请求类型
1241,特征生成,特征生成
1242,匹配算法,匹配算法
1243,字符串匹配,字符串匹配
1244,正则表达式匹配,正则表达式匹配
1245,特征关键字,特征关键字
1246,温馨提示,温馨提示
1247,"请确保您所填写的内容正确,否则该规则可能无法执行","请确保您所填写的内容正确,否则该规则可能无法执行"
1248,以上,以上
1249,谷歌爬虫,谷歌爬虫
1250,百度爬虫,百度爬虫
1251,雅虎爬虫,雅虎爬虫
1252,新浪爬虫,新浪爬虫
1253,网易爬虫,网易爬虫
1254,MSN爬虫,MSN爬虫
1255,必应爬虫,必应爬虫
1256,SOSO爬虫,SOSO爬虫
1257,360爬虫,360爬虫
1258,即刻爬虫,即刻爬虫
1259,东方网景,东方网景
1260,热土爬虫,热土爬虫
1261,华为赛门铁克,华为赛门铁克
1262,英国爬虫,英国爬虫
1263,俄罗斯爬虫,俄罗斯爬虫
1264,韩国爬虫,韩国爬虫
1265,日本爬虫,日本爬虫
1266,其它爬虫,其它爬虫
1267,"用户名或者密码错误,剩余 %s 次登录机会","用户名或者密码错误,剩余 %s 次登录机会"
1268,完成时间,完成时间
1269,所属站点组,所属站点组
1270,修改服务器,修改服务器
1271,规则模板ID,规则模板ID
1272,"所选站点中,有反向代理站点,不能删除","所选站点中,有反向代理站点,不能删除"
1273,删除数据失败,删除数据失败
1274,提交的数据不能空,提交的数据不能空
1275,IP地址及端口,IP地址及端口
1276,选择年月,选择年月
1277,选择年月日,选择年月日
1278,输出格式,输出格式
1279,报表已生成，请点击相关链接进行下载,报表已生成，请点击相关链接进行下载
1280,时间(时),时间(时)
1281,事件次数,事件次数
1282,URL/IP地址,URL/IP地址
1283,无效参数,无效参数
1284,报告已生成,报告已生成
1285,蓝盾WEB应用防护系统攻击报表,蓝盾WEB应用防护系统攻击报表
1286,蓝盾WEB应用防护系统访问报表,蓝盾WEB应用防护系统访问报表
1287,统计时间段,统计时间段
1288,报表生成时间,报表生成时间
1289,管理接口地址,管理接口地址
1290,报表内容:入侵记录统计,报表内容:入侵记录统计
1291,入侵数量统计图--总数,入侵数量统计图--总数
1292,入侵趋势图,入侵趋势图
1293,入侵趋势图(24小时时间段),入侵趋势图(24小时时间段)
1294,入侵类别统计图,入侵类别统计图
1295,入侵类别对比图,入侵类别对比图
1296,入侵数量统计,入侵数量统计
1297,入侵趋势,入侵趋势
1298,入侵类别统计,入侵类别统计
1299,入侵类别对比,入侵类别对比
1300,入侵类来源地址统计,入侵类来源地址统计
1301,攻击事件的入侵类来源统计,攻击事件的入侵类来源统计
1302,入侵类来源的攻击事件统计,入侵类来源的攻击事件统计
1303,攻击类型按被攻击主机统计,攻击类型按被攻击主机统计
1304,被攻击主机的攻击类型统计,被攻击主机的攻击类型统计
1305,攻击类型按被攻击URL的统计,攻击类型按被攻击URL的统计
1306,被攻击URL的攻击类型统计,被攻击URL的攻击类型统计
1307,被攻击主机统计,被攻击主机统计
1308,被攻击URL统计,被攻击URL统计
1309,被攻击URL统计(含参数),被攻击URL统计(含参数)
1310,"生成即时报表(查看HTML报表时建议使用的浏览器: IE10或以上/火狐/谷)","生成即时报表(查看HTML报表时建议使用的浏览器: IE10或以上/火狐/谷)"
1311,报表日期,报表日期
1312,下载报表,下载报表
1313,预览报表,预览报表
1314,生成报表,生成报表
1315,报表生成中，请稍后...,报表生成中，请稍后...
1316,HTML格式,HTML格式
1317,PDF格式,PDF格式
1318,DOC格式,DOC格式
1319,请输入正整数,请输入正整数
1320,请按需求填写,请按需求填写
1321,请选择查询日期,请选择查询日期
1322,防护网站,防护网站
1323,安全统计分析,安全统计分析
1324,用户在您网站停留的时间,用户在您网站停留的时间
1325,爬虫分析,爬虫分析
1326,爬虫,爬虫
1327,网站流量(按天),网站流量(按天)
1328,网络接口,网络接口
1329,接收数据包,接收数据包
1330,发送数据包,发送数据包
1331,接收字节,接收字节
1332,发送字节,发送字节
1333,接收的错误包,接收的错误包
1334,发送的错误包,发送的错误包
1335,接收丢失,接收丢失
1336,发送丢失,发送丢失
1337,网站入口页面访问次数,网站入口页面访问次数
1338,网站出口页面访问次数,网站出口页面访问次数
1339,被访页面,被访页面
1340,页面访问排名,页面访问排名
1341,错误码排名,错误码排名
1342,错误码,错误码
1343,搜索引擎,搜索引擎
1344,搜索关键字,搜索关键字
1345,从搜索引擎进入我的网站,从搜索引擎进入我的网站
1346,从别的网站进入我的网站,从别的网站进入我的网站
1347,用户都用什么样的操作系统？,用户都用什么样的操作系统？
1348,用户都用什么样的浏览器？,用户都用什么样的浏览器？
1349,用户停留时间,用户停留时间
1350,总PV,总PV
1351,访问次数,访问次数
1352,流量数,流量数
1353,半双工,半双工
1354,全双工,全双工
1355,已连接,已连接
1356,未连接,未连接
1357,输入ID,输入ID
1358,规则说明,规则说明
1359,添加成功,添加成功
1360,上传失败,上传失败
1364,中危,中危
1365,低危,低危
1366,高危,高危
1367,启用状态,启用状态
1368,HTTP数据类型,HTTP数据类型
1369,提示类型,提示类型
1370,自定义文件,自定义文件
1371,生效状态,生效状态
1374,策略内容,策略内容
1375,站点组启用状态,站点组启用状态
1376,攻击类别,攻击类别
1377,危害级别,危害级别
1378,扫描状态,扫描状态
1379,扫描结果,扫描结果
1380,敏感词过滤开启状态,敏感词过滤开启状态
1381,智能阻断状态,智能阻断状态
1382,Bypass启用状态,Bypass启用状态
1383,监控目标URL,监控目标URL
1384,Protype,Protype
1385,Freq,Freq
1386,系统默认语言,系统默认语言
1387,防火墙角色,防火墙角色
1388,AuditLogUniqueID,AuditLogUniqueID
1389,UserAgent,UserAgent
1390,HTTP请求方式,HTTP请求方式
1391,请求类型,请求类型
1392,响应类型,响应类型
1393,请求状态码,请求状态码
1394,GeneralMsg,GeneralMsg
1395,规则文件,规则文件
1396,总数,总数
1397,默认值,默认值
1398,范围,范围
1399,模式来源,模式来源
1400,规则模板库找不到模板,规则模板库找不到模板
1401,不能删除正在使用的模板,不能删除正在使用的模板
1402,操作失败,操作失败
1403,重启关机,重启关机
1404,Symbol,Symbol
1405,"Field Desc","Field Desc"
1406,Json,Json
1407,版本类型,版本类型
1408,联系电话,联系电话
1409,阻断,阻断
1410,防护的url,防护的url
1411,最大文件大小,最大文件大小
1412,阻断持续时间,阻断持续时间
1413,DestinationIP,DestinationIP
1416,RequestContentType,RequestContentType
1417,ResponseContentType,ResponseContentType
1418,HttpStatusCode,HttpStatusCode
1420,是否病毒,是否病毒
1421,检查结果,检查结果
1422,Number,Number
1423,用户名只能包含数字加字母组合,用户名只能包含数字加字母组合
1424,"重新扫描将会清除原来的任务数据,确定要继续么","重新扫描将会清除原来的任务数据,确定要继续么"
1425,欢迎您,欢迎您
1426,检测登录状态,检测登录状态
1427,syslog服务器,syslog服务器
1428,邮件测试,邮件测试
1429,日志入库归档,日志入库归档
1430,初始化,初始化
1431,waf账号同步,waf账号同步
1432,启用网关邮件功能,启用网关邮件功能
1434,配置项名称,配置项名称
1435,配置项值,配置项值
1436,接口命令,接口命令
1437,导入,导入
1438,启用手机报警功能,启用手机报警功能
1439,登录超时,登录超时
1440,系统主页,系统主页
1441,超级管理员,超级管理员
1442,系统管理员,系统管理员
1443,安全管理员,安全管理员
1444,安全审计员,安全审计员
1445,通知,通知
1446,信息,信息
1447,调试,调试
1448,DDOS日志,DDOS日志
1449,CC日志,CC日志
1450,智能上传文件日志,智能上传文件日志
1451,同级账号管理,同级账号管理
1452,更新状态,更新状态
1453,规则复制,规则复制
1454,预设规则模板,预设规则模板
1455,自定义规则模板,自定义规则模板
1456,IP过滤设置,IP过滤设置
1457,智能木马检测,智能木马检测
1458,"禁止请求的文件扩展名设置 (启用后,请求的文件扩展名类型将被禁止)","禁止请求的文件扩展名设置 (启用后,请求的文件扩展名类型将被禁止)"
1463,策略名,策略名
1464,目标Url,目标Url
1466,单用户登录客户端数限制,单用户登录客户端数限制
1467,"User Agent","User Agent"
1469,"Http Protocol","Http Protocol"
1470,"Rule ID","Rule ID"
1471,下载路径,下载路径
1472,上传文件ID,上传文件ID
1473,检测结果,检测结果
1474,复制,复制
1475,是否启用规则,是否启用规则
1476,是否停用规则,是否停用规则
1480,"清空操作将对目前所有数据进行清空,清空后将不能恢复,确认","清空操作将对目前所有数据进行清空,清空后将不能恢复,确认"
1481,"未分类站点,不能删除","未分类站点,不能删除"
1482,主机头名必须是IPV4地址或者是合法的域名,主机头名必须是IPV4地址或者是合法的域名
1483,"允许IP,IP段,IP+掩码等方式,其中IP段格式为: ip-ip ,如(192.168.1.1-192.168.4.254),IP+掩码方式为: ip/掩码 ,如(192.168.1.0/24)","允许IP,IP段,IP+掩码等方式,其中IP段格式为: ip-ip ,如(192.168.1.1-192.168.4.254),IP+掩码方式为: ip/掩码 ,如(192.168.1.0/24)"
1484,预设模板,预设模板
1485,当前启用,当前启用
1486,"提示:预设规则模板,只能被启用其中一个. 当选择""严格""模板,有可能出现多报的情况,当选择""宽松""模板,有可能漏报情况.","提示:预设规则模板,只能被启用其中一个. 当选择""严格""模板,有可能出现多报的情况,当选择""宽松""模板,有可能漏报情况."
1487,没有选择需要重置的模板,没有选择需要重置的模板
1488,请选择需要重置的规则模板,请选择需要重置的规则模板
1489,确认需要重置选择的规则模板吗,确认需要重置选择的规则模板吗
1490,"当选择模板类型为站点组模板,此选项不生效","当选择模板类型为站点组模板,此选项不生效"
1491,上行,上行
1492,下行,下行
1493,内存,内存
1494,磁盘,磁盘
1495,当前预设规则模板名称,当前预设规则模板名称
1496,不允许上传,不允许上传
1497,关键字告警,关键字告警
1498,不支持选择超过两个设备,不支持选择超过两个设备
1499,"共 {total} 条记录, 每页显示 {pagesize} 条","共 {total} 条记录, 每页显示 {pagesize} 条"
1500,不能上传大于%sM的文件,不能上传大于%sM的文件
1501,根据条件清空数据,根据条件清空数据
1502,重置模板,重置模板
1503,公共接口,公共接口
1504,获取网口信息,获取网口信息
1506,站点管理,站点管理
1507,站点服务,站点服务
1508,测试,测试
1509,系统配置列表,系统配置列表
1510,更新黑白名单,更新黑白名单
1511,版本号,版本号
1512,项目版本号,项目版本号
1513,上一版本号,上一版本号
1514,端口/协议,端口/协议
1515,站点分组,站点分组
1516,上传文件名,上传文件名
1517,上传类型,上传类型
1518,上传用户,上传用户
1519,升级说明,升级说明
1520,升级结果,升级结果
1521,"蓝盾信息安全技术股份有限公司 版权所有 Copyright&copy;1998-%s Bluedon. All Rights Reserved","蓝盾信息安全技术股份有限公司 版权所有 Copyright&copy;1998-%s Bluedon. All Rights Reserved"
1522,根据搜索条件清空数据,根据搜索条件清空数据
1523,清空搜索条件,清空搜索条件
1524,无,无
1525,中,中
1526,此处留空表示支持任意,此处留空表示支持任意
1527,文件扩展名列表管理,文件扩展名列表管理
1528,机器学习引擎,机器学习引擎
1529,智能木马配置,智能木马配置
1530,"使用""|""隔开","使用""|""隔开"
1531,拦截的文件后缀名,拦截的文件后缀名
1532,最大文件分析,最大文件分析
1533,"IP防护功能,只适合于部署为""透明桥接""模式才有效","IP防护功能,只适合于部署为""透明桥接""模式才有效"
1534,"不使用IP防护功能,则对所有请求都防护; 使用IP防护功能,即仅防护源IP或目标IP符合设置的请求","不使用IP防护功能,则对所有请求都防护; 使用IP防护功能,即仅防护源IP或目标IP符合设置的请求"
1535,防护IP/IP段,防护IP/IP段
1536,"防护IP/IP段之间用""|""隔开, 例: 192.168.2.1或者192.168.2.1-192.168.2.254","防护IP/IP段之间用""|""隔开, 例: 192.168.2.1或者192.168.2.1-192.168.2.254"
1537,访问/流量报表不支持生成每周报表,访问/流量报表不支持生成每周报表
1538,"允许IP,IP段,IP+掩码等方式,其中IP段格式为: ip-ip ,如(192.168.1.1-254),IP+掩码方式为: ip/掩码 ,如(192.168.1.0/24)","允许IP,IP段,IP+掩码等方式,其中IP段格式为: ip-ip ,如(192.168.1.1-254),IP+掩码方式为: ip/掩码 ,如(192.168.1.0/24)"
1539,接入控制配置开关,接入控制配置开关
1540,点击启用按钮后需要选择黑/白名单模式才生效,点击启用按钮后需要选择黑/白名单模式才生效
1541,操作者,操作者
1542,升级中,升级中
1543,升级失败,升级失败
1544,升级文件包错误,升级文件包错误
1545,版本号错误,版本号错误
1546,版本已升级过,版本已升级过
1547,当前版本信息错误,当前版本信息错误
1548,升级版本错误,升级版本错误
1549,规则版本升级,规则版本升级
1550,处理方式,处理方式
1551,后缀,后缀
1552,病毒,病毒
1553,引擎,引擎
1554,绑定桥必须是一个外网口与一个内网口,绑定桥必须是一个外网口与一个内网口
1555,站点扫描,站点扫描
1556,修改密码,修改密码
1557,安全配置,安全配置
1558,应用安全,应用安全
1559,WAF引擎设置,WAF引擎设置
1560,wafEngine,wafEngine
1561,defaultInterceptModeSetting,defaultInterceptModeSetting
1562,interceptionMode,interceptionMode
1563,"检测端口设置:指定要检测的端口,如有多个请用|隔开,不能以0开头.如:80|8080","检测端口设置:指定要检测的端口,如有多个请用|隔开,不能以0开头.如:80|8080"
1564,checkPort,checkPort
1565,deploymentMode,deploymentMode
1566,sourceIpDefendCc,sourceIpDefendCc
1567,givenUriDefendCc,givenUriDefendCc
1568,dDosDefendConfig,dDosDefendConfig
1569,engine,engine
1570,fileSuffixName,fileSuffixName
1571,maximumFileAnalysis,maximumFileAnalysis
1572,updateTime,updateTime
1573,ipFilterFitTips,ipFilterFitTips
1574,ipFilterOrInterval,ipFilterOrInterval
1575,alertConfig,alertConfig
1576,mailAlert,mailAlert
1577,smsAlert,smsAlert
1578,sendInterval,sendInterval
1579,notificationConfig,notificationConfig
1580,enableGatewayEmailFunction,enableGatewayEmailFunction
1581,enablePhoneAlertFunction,enablePhoneAlertFunction
1582,addressorEmail,addressorEmail
1583,addressor,addressor
1584,addressorPwd,addressorPwd
1585,smtpServerAddr,smtpServerAddr
1586,smtpServerPort,smtpServerPort
1587,addresseeEmail,addresseeEmail
1588,addresseePhone,addresseePhone
1589,openState,openState
1590,interceptExtensionName,interceptExtensionName
1591,extensionName,extensionName
1592,必须包含英文字母,必须包含英文字母
1593,必须包含数字,必须包含数字
1594,必须包含特殊字符,必须包含特殊字符
1595,第一次登入必须修改密码,第一次登入必须修改密码
1596,密码最长使用天数,密码最长使用天数
1597,密码最小长度(字符),密码最小长度(字符)
1598,预设策略,预设策略
1599,selfStudyResult,selfStudyResult
1600,URI最大长度,URI最大长度
1601,URI参数名称最大长度,URI参数名称最大长度
1602,sshSwitchConfig,sshSwitchConfig
1603,"<span class=""red"">*</span>代理IP及端口:(权重值范围1-10，值越大，权重越大)","<span class=""red"">*</span>代理IP及端口:(权重值范围1-10，值越大，权重越大)"
1604,部署方式,部署方式
1605,回退,回退
1606,初始化升级数据失败,初始化升级数据失败
1607,升级状态错误,升级状态错误
1608,密码错误,密码错误
1609,"用户并未执行系统升级,不能进行还原操作","用户并未执行系统升级,不能进行还原操作"
1610,无版本升级记录,无版本升级记录
1611,还原文件错误,还原文件错误
1612,回退成功,回退成功
1613,异常终止,异常终止
1614,升级正在进行,升级正在进行
1615,设备依赖性检查失败,设备依赖性检查失败
1616,升级dpdk失败,升级dpdk失败
1617,"升级dpdk warper失败","升级dpdk warper失败"
1618,升级策略自动演进失败,升级策略自动演进失败
1619,升级IPS失败,升级IPS失败
1620,升级web应用防护失败,升级web应用防护失败
1621,升级防扫描、反拍照失败,升级防扫描、反拍照失败
1622,升级用户认证失败,升级用户认证失败
1623,升级PHP失败,升级PHP失败
1624,升级python失败,升级python失败
1625,升级数据库失败,升级数据库失败
1626,dpdk缺失,dpdk缺失
1627,"dpdk warper升级包缺失","dpdk warper升级包缺失"
1628,防扫描升级包缺失,防扫描升级包缺失
1629,python升级包缺失,python升级包缺失
1630,python配置文件缺失,python配置文件缺失
1631,"安装python pyinotify模块失败","安装python pyinotify模块失败"
1632,"安装python ipy模块失败","安装python ipy模块失败"
1633,"安装python jinja模块失败","安装python jinja模块失败"
1634,"安装python markupsafe模块失败","安装python markupsafe模块失败"
1635,"安装python mysqlpython模块失败","安装python mysqlpython模块失败"
1636,"安装python netaddr模块失败","安装python netaddr模块失败"
1637,"安装python psutil模块失败","安装python psutil模块失败"
1638,找不到升级包,找不到升级包
1639,升级包md5校验失败,升级包md5校验失败
1640,升级包解密失败,升级包解密失败
1641,无法解压升级包,无法解压升级包
1642,升级密码,升级密码
1643,系统还原,系统还原
1644,还原密码,还原密码
1645,还原至升级前的系统,还原至升级前的系统
1646,升级记录,升级记录
1647,"升级之前确保已经备份数据,升级过程中将不允许做任何操作","升级之前确保已经备份数据,升级过程中将不允许做任何操作"
1648,是否确定进行系统还原操作,是否确定进行系统还原操作
1649,还原失败,还原失败
1650,"系统升级中,请勿进行任何操作","系统升级中,请勿进行任何操作"
1651,"升级即将完成,系统即将重启","升级即将完成,系统即将重启"
1652,"升级失败,即将退出系统","升级失败,即将退出系统"
1653,"系统恢复中,请勿进行任何操作","系统恢复中,请勿进行任何操作"
1654,"恢复即将完成,系统即将重启","恢复即将完成,系统即将重启"
1655,"还原失败,即将退出系统","还原失败,即将退出系统"
1656,没有上一版本系统还原数据,没有上一版本系统还原数据
1657,登录密码安全策略,登录密码安全策略
1658,数据为空,数据为空
1659,旧密码错误,旧密码错误
1660,"""0""天表示不限制","""0""天表示不限制"
